SK_ID_CURR,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_TYPE_SUITE,CNT_CHILDREN,NAME_FAMILY_STATUS,OCCUPATION_TYPE,NAME_EDUCATION_TYPE,ORGANIZATION_TYPE,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,AMT_ANNUITY,NAME_HOUSING_TYPE,DAYS_LAST_PHONE_CHANGE,AMT_CREDIT,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100002,N,Y,202500.0,Working,Unaccompanied,0,Single / not married,Laborers,Secondary / secondary special,Business Entity Type 3,1,Cash loans,M,24700.5,House / apartment,-1134.0,406597.5,351000.0,0.018801,-9461,-637,-3648.0,-2120,,1,1,0,1,1,0,1.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,0.08303696739132260,0.2629485927471780,0.13937578009979000,0.0247,0.0369,0.9722,0.6192,0.0143,0.0,0.069,0.0833,0.125,0.0369,0.0202,0.019,0.0,0.0,0.0252,0.0383,0.9722,0.6341,0.0144,0.0,0.069,0.0833,0.125,0.0377,0.022,0.0198,0.0,0.0,0.025,0.0369,0.9722,0.6243,0.0144,0.0,0.069,0.0833,0.125,0.0375,0.0205,0.0193,0.0,0.0,reg oper account,block of flats,0.0149,"Stone, brick",No,2.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100003,N,N,270000.0,State servant,Family,0,Married,Core staff,Higher education,School,0,Cash loans,F,35698.5,House / apartment,-828.0,1293502.5,1129500.0,0.003541000000000000,-16765,-1188,-1186.0,-291,,1,1,0,1,1,0,2.0,1,1,MONDAY,11,0,0,0,0,0,0,0.3112673113812230,0.6222457752555100,,0.0959,0.0529,0.9851,0.7960000000000000,0.0605,0.08,0.0345,0.2917,0.3333,0.013,0.0773,0.0549,0.0039,0.0098,0.0924,0.0538,0.9851,0.804,0.0497,0.0806,0.0345,0.2917,0.3333,0.0128,0.079,0.0554,0.0,0.0,0.0968,0.0529,0.9851,0.7987,0.0608,0.08,0.0345,0.2917,0.3333,0.0132,0.0787,0.0558,0.0039,0.01,reg oper account,block of flats,0.0714,Block,No,1.0,0.0,1.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100004,Y,Y,67500.0,Working,Unaccompanied,0,Single / not married,Laborers,Secondary / secondary special,Government,0,Revolving loans,M,6750.0,House / apartment,-815.0,135000.0,135000.0,0.010032,-19046,-225,-4260.0,-2531,26.0,1,1,1,1,1,0,1.0,2,2,MONDAY,9,0,0,0,0,0,0,,0.5559120833904430,0.7295666907060150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100006,N,Y,135000.0,Working,Unaccompanied,0,Civil marriage,Laborers,Secondary / secondary special,Business Entity Type 3,0,Cash loans,F,29686.5,House / apartment,-617.0,312682.5,297000.0,0.008019,-19005,-3039,-9833.0,-2437,,1,1,0,1,0,0,2.0,2,2,WEDNESDAY,17,0,0,0,0,0,0,,0.6504416904014650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100007,N,Y,121500.0,Working,Unaccompanied,0,Single / not married,Core staff,Secondary / secondary special,Religion,0,Cash loans,M,21865.5,House / apartment,-1106.0,513000.0,513000.0,0.028663,-19932,-3038,-4311.0,-3458,,1,1,0,1,0,0,1.0,2,2,THURSDAY,11,0,0,0,0,1,1,,0.3227382869704050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100008,N,Y,99000.0,State servant,"Spouse, partner",0,Married,Laborers,Secondary / secondary special,Other,0,Cash loans,M,27517.5,House / apartment,-2536.0,490495.5,454500.0,0.035792000000000000,-16941,-1588,-4970.0,-477,,1,1,1,1,1,0,2.0,2,2,WEDNESDAY,16,0,0,0,0,0,0,,0.3542247319929010,0.6212263380626670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
100009,Y,Y,171000.0,Commercial associate,Unaccompanied,1,Married,Accountants,Higher education,Business Entity Type 3,0,Cash loans,F,41301.0,House / apartment,-1562.0,1560726.0,1395000.0,0.035792000000000000,-13778,-3130,-1213.0,-619,17.0,1,1,0,1,1,0,3.0,2,2,SUNDAY,16,0,0,0,0,0,0,0.7747614130547700,0.7239998516953140,0.4920600938649260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,2.0
100010,Y,Y,360000.0,State servant,Unaccompanied,0,Married,Managers,Higher education,Other,0,Cash loans,M,42075.0,House / apartment,-1070.0,1530000.0,1530000.0,0.0031220000000000000,-18850,-449,-4597.0,-2379,8.0,1,1,1,1,0,0,2.0,3,3,MONDAY,16,0,0,0,0,1,1,,0.7142792864482230,0.5406544504453580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100011,N,Y,112500.0,Pensioner,Children,0,Married,,Secondary / secondary special,XNA,0,Cash loans,F,33826.5,House / apartment,0.0,1019610.0,913500.0,0.018634,-20099,365243,-7427.0,-3514,,1,0,0,1,0,0,2.0,2,2,WEDNESDAY,14,0,0,0,0,0,0,0.5873340468730380,0.20574728800732800,0.7517237147741490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
100012,N,Y,135000.0,Working,Unaccompanied,0,Single / not married,Laborers,Secondary / secondary special,Electricity,0,Revolving loans,M,20250.0,House / apartment,-1673.0,405000.0,405000.0,0.019689000000000000,-14469,-2019,-14437.0,-3992,,1,1,0,1,0,0,1.0,2,2,THURSDAY,8,0,0,0,0,0,0,,0.7466436294590920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
