@relation phishing

@attribute having_IP_Address  NUMERIC %{ -1,1 }
@attribute URL_Length   NUMERIC %{ 1,0,-1 }
@attribute Shortining_Service NUMERIC %{ 1,-1 }
@attribute having_At_Symbol   NUMERIC %{ 1,-1 }
@attribute double_slash_redirecting NUMERIC %{ -1,1 }
@attribute Prefix_Suffix  NUMERIC %{ -1,1 }
@attribute having_Sub_Domain  NUMERIC %{ -1,0,1 }
@attribute SSLfinal_State  NUMERIC %{ -1,1,0 }
@attribute Domain_registeration_length NUMERIC %{ -1,1 }
@attribute Favicon NUMERIC %{ 1,-1 }
@attribute port NUMERIC %{ 1,-1 }
@attribute HTTPS_token NUMERIC %{ -1,1 }
@attribute Request_URL  NUMERIC %{ 1,-1 }
@attribute URL_of_Anchor NUMERIC %{ -1,0,1 }
@attribute Links_in_tags NUMERIC %{ 1,-1,0 }
@attribute SFH  NUMERIC %{ -1,1,0 }
@attribute Submitting_to_email NUMERIC %{ -1,1 }
@attribute Abnormal_URL NUMERIC %{ -1,1 }
@attribute Redirect  NUMERIC %{ 0,1 }
@attribute on_mouseover  NUMERIC %{ 1,-1 }
@attribute RightClick  NUMERIC %{ 1,-1 }
@attribute popUpWidnow  NUMERIC %{ 1,-1 }
@attribute Iframe NUMERIC %{ 1,-1 }
@attribute age_of_domain  NUMERIC %{ -1,1 }
@attribute DNSRecord   NUMERIC %{ -1,1 }
@attribute web_traffic  NUMERIC %{ -1,0,1 }
@attribute Page_Rank NUMERIC %{ -1,1 }
@attribute Google_Index NUMERIC %{ 1,-1 }
@attribute Links_pointing_to_page NUMERIC %{ 1,0,-1 }
@attribute Statistical_report NUMERIC %{ -1,1 }
@attribute Result  NUMERIC %{ -1,1 }


@data
-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,0,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1
1,1,1,1,1,-1,0,1,-1,1,1,-1,1,0,-1,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,1,1,-1
1,0,1,1,1,-1,-1,-1,-1,1,1,-1,1,0,-1,-1,-1,-1,0,1,1,1,1,1,-1,1,-1,1,0,-1,-1
1,0,1,1,1,-1,-1,-1,1,1,1,-1,-1,0,0,-1,1,1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,-1
1,0,-1,1,1,-1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,-1,1,-1,1,-1,-1,0,-1,1,1,1,1
-1,0,-1,1,-1,-1,1,1,-1,1,1,-1,1,0,0,-1,-1,-1,0,1,1,1,1,1,1,1,-1,1,-1,-1,1
1,0,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,-1,-1,0,1,1,1,1,1,-1,-1,-1,1,0,-1,-1
1,0,1,1,1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,1,-1
1,0,-1,1,1,-1,1,1,-1,1,1,-1,1,0,1,-1,1,1,0,1,1,1,1,1,-1,1,1,1,0,1,1
1,1,-1,1,1,-1,-1,1,-1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,1,-1,0,-1,1,0,1,-1
1,1,1,1,1,-1,0,1,1,1,1,1,-1,0,0,-1,-1,-1,0,1,1,1,1,-1,1,1,1,1,-1,-1,1
