points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime,avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,1,standard,3,0.696784,0.009386,0.696784,0.009386,10,0,0.008084,0.008056,0.011039,0.013618,0.007996,0.009371,0.010521,0.008712,0.007670,0.008798,78,128,234,115,98,125,144,72,93,225,0.41,0.68,1.24,0.61,0.52,0.66,0.77,0.38,0.49,1.20
200,1,standard,3,3.276075,0.017691,2.272148,0.009714,9,1,0.009106,0.010536,0.009390,0.010217,0.009218,0.009649,0.009286,0.011723,0.089482,0.008302,386,392,241,88,169,165,120,294,1000,101,3.92,4.00,2.45,0.90,1.70,1.66,1.27,3.33,12.31,1.21
300,1,standard,3,8.068894,0.024619,6.058359,0.010859,8,2,0.072719,0.014143,0.009933,0.007378,0.086600,0.009530,0.008023,0.008769,0.017550,0.011543,1000,274,323,301,1000,900,439,198,202,257,16.77,4.81,5.91,5.13,15.46,13.85,7.13,3.41,3.72,4.52
400,1,standard,3,6.755301,0.009295,6.755301,0.009295,10,0,0.009908,0.007862,0.008095,0.007677,0.010215,0.011416,0.008340,0.009206,0.012148,0.008087,280,554,482,291,165,319,275,195,198,230,5.76,12.37,11.60,6.29,3.74,7.32,5.87,4.51,4.86,5.23
500,1,standard,3,8.446670,0.009821,8.446670,0.009821,10,0,0.010981,0.008319,0.008860,0.007719,0.008843,0.011065,0.008334,0.009456,0.012806,0.011828,499,368,223,392,273,164,419,239,230,147,14.24,10.55,6.60,11.22,7.90,4.63,11.85,6.78,6.55,4.13
600,1,standard,3,12.906826,0.018717,10.567115,0.013534,9,1,0.010035,0.009360,0.015540,0.007990,0.012017,0.010658,0.065360,0.007114,0.039221,0.009871,381,169,603,160,268,152,1000,238,607,231,12.88,5.79,20.56,5.39,9.01,5.12,33.96,8.12,20.46,7.78
700,1,standard,3,12.825741,0.017204,12.825741,0.017204,10,0,0.008571,0.010636,0.009947,0.011816,0.011553,0.037607,0.009526,0.010077,0.009658,0.052653,929,405,315,178,263,207,326,228,206,198,36.64,16.04,12.36,7.00,10.32,8.14,12.79,9.03,8.10,7.83
800,1,standard,3,15.018043,0.022576,15.018043,0.022576,10,0,0.009043,0.044456,0.009582,0.009439,0.047374,0.011474,0.007871,0.008537,0.047520,0.030461,263,358,246,496,550,391,156,154,421,291,11.84,16.11,11.17,22.39,24.99,17.54,7.05,6.99,18.97,13.11
900,1,standard,3,22.525903,0.014632,22.525903,0.014632,10,0,0.024983,0.008839,0.008185,0.009478,0.010451,0.010417,0.028359,0.026714,0.010811,0.008085,471,471,275,268,327,925,388,769,156,404,23.75,23.77,13.79,13.45,16.53,46.99,19.55,39.13,7.82,20.47
1000,1,standard,3,19.228572,0.011333,19.228572,0.011333,10,0,0.008927,0.021850,0.008537,0.016645,0.010743,0.009858,0.009904,0.009026,0.009147,0.008692,231,275,371,184,286,220,219,473,958,214,12.85,15.44,20.94,10.27,16.02,12.28,12.22,26.64,53.61,12.02
1100,1,standard,3,28.568808,0.023060,24.900060,0.020961,9,1,0.010199,0.010006,0.031336,0.010782,0.043367,0.041951,0.007981,0.008260,0.034043,0.032678,686,188,499,364,516,1000,242,273,149,711,42.30,11.73,30.79,22.55,32.07,61.59,14.88,16.79,9.21,43.77
1200,1,standard,3,31.004579,0.023040,26.956702,0.019680,9,1,0.007401,0.053281,0.010514,0.034363,0.011156,0.010053,0.051215,0.036352,0.007266,0.008798,304,1000,421,266,458,269,512,622,548,199,20.48,67.44,28.63,18.04,30.71,18.09,34.50,41.84,36.96,13.36
1300,1,standard,3,36.319056,0.036055,32.187533,0.035526,9,1,0.049790,0.043878,0.040822,0.009246,0.046478,0.051956,0.035067,0.010388,0.034103,0.038826,335,277,1000,555,565,352,546,283,618,444,24.50,20.18,73.50,40.18,41.78,25.71,39.74,20.49,44.92,32.17
1400,1,standard,3,38.670107,0.021608,34.213736,0.016993,9,1,0.023858,0.025293,0.024740,0.008889,0.007607,0.029146,0.009025,0.063139,0.008943,0.015439,261,846,311,654,385,675,307,1000,242,258,20.34,66.04,24.35,51.00,29.79,53.18,24.09,78.78,18.97,20.16
