points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime,avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,1,standard,3,5.744780,0.000003,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,5.28,5.77,5.74,5.78,5.77,5.82,5.79,5.76,5.83,5.91
200,1,standard,3,11.015106,0.000000,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,11.03,11.15,11.04,10.98,11.00,11.03,11.02,10.97,10.98,10.95
300,1,standard,3,16.253008,0.000000,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,16.24,16.39,16.31,16.27,16.23,16.18,16.22,16.26,16.23,16.19
400,1,standard,3,21.545154,0.011992,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062155,0.000000,0.000000,0.057767,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,21.57,21.57,21.38,21.39,21.60,21.57,21.62,21.55,21.50,21.70
500,1,standard,3,26.680283,0.027625,nan,nan,0,10,0.053152,0.000000,0.000000,0.060190,0.000000,0.000000,0.047480,0.062343,0.000000,0.053089,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,26.71,26.87,26.84,26.70,26.58,26.67,26.53,26.56,26.70,26.65
600,1,standard,3,32.050865,0.016881,nan,nan,0,10,0.000000,0.000000,0.052992,0.000000,0.000000,0.000000,0.000026,0.065586,0.000000,0.050206,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,31.92,31.96,31.90,32.16,31.96,32.12,32.20,32.05,32.22,32.01
700,1,standard,3,37.242756,0.005993,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059929,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,37.31,37.16,37.49,37.17,37.32,36.98,37.30,37.14,37.31,37.25
800,1,standard,3,42.544327,0.000000,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,42.87,42.73,42.77,42.37,42.26,42.72,42.32,42.61,42.47,42.32
900,1,standard,3,47.879459,0.000000,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,47.71,47.96,47.79,47.96,47.97,47.82,47.54,48.00,47.74,48.30
1000,1,standard,3,53.181964,0.005958,nan,nan,0,10,0.059585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,53.53,52.76,53.25,53.18,53.35,53.34,52.95,53.38,52.92,53.17
1100,1,standard,3,58.187233,0.020837,nan,nan,0,10,0.000000,0.000000,0.036285,0.044119,0.030284,0.000000,0.054194,0.000000,0.000000,0.043484,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,58.66,58.46,58.32,58.09,57.97,58.25,58.10,57.89,58.00,58.13
1200,1,standard,3,63.718428,0.003441,nan,nan,0,10,0.034415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,63.80,63.63,63.54,63.43,63.54,63.63,63.46,64.45,63.55,64.17
1300,1,standard,3,68.913477,0.004050,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.040500,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,69.06,69.41,69.10,69.34,68.75,68.66,68.46,68.71,68.60,69.04
1400,1,standard,3,74.098542,0.013059,nan,nan,0,10,0.033552,0.030302,0.000000,0.000000,0.000000,0.000000,0.034587,0.000000,0.032144,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,74.55,74.19,74.64,73.88,74.39,73.48,73.62,74.01,74.48,73.76
1500,1,standard,3,79.320957,0.000000,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,79.47,79.39,79.15,79.42,79.09,79.11,79.60,79.24,79.62,79.14
