points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime,avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,1,None,3,1.533679,0.009447,1.533679,0.009447,10,0,0.010352,0.009299,0.009641,0.008599,0.009696,0.009337,0.009564,0.008781,0.008678,0.010527,146,762,147,141,428,139,99,201,148,174,0.93,4.89,0.94,0.90,2.78,0.89,0.64,1.30,0.95,1.12
200,1,None,3,3.519674,0.017488,2.579890,0.009383,9,1,0.010060,0.008652,0.010321,0.010602,0.008895,0.090426,0.009637,0.009503,0.007550,0.009228,149,142,144,377,127,1000,237,361,264,139,1.77,1.70,1.71,4.49,1.52,11.98,2.83,4.34,3.18,1.67
300,1,None,3,4.343036,0.010120,4.343036,0.010120,10,0,0.009074,0.010109,0.010230,0.011294,0.008863,0.012161,0.009759,0.011984,0.008290,0.009433,155,138,493,197,159,335,224,209,368,196,2.74,2.42,8.66,3.50,2.88,5.81,3.91,3.65,6.43,3.44
400,1,None,3,5.548549,0.010115,5.548549,0.010115,10,0,0.012547,0.008861,0.009806,0.009269,0.009612,0.011472,0.009878,0.011285,0.009300,0.009115,285,399,459,179,157,159,208,243,153,167,6.57,9.21,10.58,4.14,3.64,3.67,4.77,5.58,3.50,3.82
500,1,None,3,8.015847,0.009730,8.015847,0.009730,10,0,0.009436,0.008888,0.010532,0.013334,0.008779,0.009604,0.009543,0.010865,0.008813,0.007510,297,248,174,681,410,208,128,144,157,357,8.44,7.07,4.97,19.49,11.77,5.93,3.64,4.12,4.48,10.26
600,1,None,3,13.932277,0.013377,11.694285,0.009788,9,1,0.008089,0.013811,0.009842,0.010329,0.008356,0.008257,0.011171,0.008755,0.045671,0.009486,183,215,311,298,354,529,354,365,1000,469,6.24,7.38,10.69,10.20,12.09,18.03,12.16,12.48,34.07,15.98
700,1,None,3,17.006238,0.021540,11.280453,0.013376,8,2,0.009422,0.011373,0.008621,0.011462,0.046495,0.061891,0.009499,0.010518,0.036391,0.009727,154,316,305,255,1000,1000,325,197,416,303,6.09,12.60,12.09,10.17,39.70,40.12,12.91,7.79,16.57,12.03
800,1,None,3,13.088262,0.015763,13.088262,0.015763,10,0,0.010329,0.009009,0.010064,0.009561,0.007237,0.009031,0.030693,0.008653,0.009963,0.053089,427,165,180,419,284,303,232,284,342,256,19.40,7.40,8.13,18.93,12.83,13.64,10.51,12.80,15.64,11.62
900,1,None,3,18.093265,0.018968,18.093265,0.018968,10,0,0.043911,0.028187,0.014518,0.008633,0.008014,0.009500,0.048754,0.008337,0.010917,0.008913,311,403,483,232,453,483,183,278,443,288,15.80,20.51,24.61,11.81,23.01,24.46,9.32,14.12,22.66,14.63
1000,1,None,3,21.538554,0.027931,17.676230,0.023026,9,1,0.008626,0.049445,0.072080,0.039303,0.009736,0.023416,0.011192,0.012085,0.044404,0.009023,352,442,1000,255,285,380,386,200,175,345,19.79,24.96,56.30,14.42,16.16,21.49,21.75,11.23,9.78,19.49
1100,1,None,3,28.446814,0.017829,24.772838,0.017172,9,1,0.023742,0.012138,0.008383,0.013964,0.010661,0.014817,0.047951,0.029742,0.008263,0.008629,1000,275,193,745,264,373,501,530,440,279,61.51,17.02,11.90,45.98,16.47,22.95,31.05,33.04,27.35,17.19
1200,1,None,3,27.939520,0.020963,23.518304,0.019329,9,1,0.009509,0.035670,0.030999,0.009074,0.009057,0.012732,0.039173,0.010121,0.043838,0.009461,351,1000,491,360,329,434,261,223,495,192,23.72,67.73,33.24,24.19,22.17,29.31,17.62,15.02,33.53,12.86
