points ,neighbors ,projection ,projectioncount ,avgtime  ,avgcost  ,avgsucctime ,avgsucccost ,success ,failed ,r1c      ,r2c      ,r3c      ,r4c      ,r5c      ,r6c      ,r7c      ,r8c      ,r9c      ,r10c     ,it1 ,it2 ,it3 ,it4 ,it5 ,it6 ,it7 ,it8 ,it9 ,it10 ,r1t  ,r2t  ,r3t  ,r4t  ,r5t  ,r6t  ,r7t  ,r8t  ,r9t  ,r10t
200    ,1         ,cylinder   ,1               ,0.473420 ,0.010213 ,0.473420    ,0.010213    ,10      ,0      ,0.008614 ,0.009573 ,0.015815 ,0.010146 ,0.011726 ,0.009197 ,0.010154 ,0.008961 ,0.009524 ,0.008425 ,127 ,125 ,129 ,114 ,103 ,113 ,129 ,98  ,167 ,120  ,0.49 ,0.48 ,0.50 ,0.44 ,0.40 ,0.43 ,0.50 ,0.38 ,0.65 ,0.46
200    ,1         ,cylinder   ,2               ,1.114178 ,0.011840 ,1.114178    ,0.011840    ,10      ,0      ,0.010661 ,0.009889 ,0.009724 ,0.009845 ,0.009298 ,0.009865 ,0.029177 ,0.011097 ,0.009065 ,0.009782 ,168 ,203 ,115 ,110 ,128 ,141 ,147 ,162 ,145 ,144  ,1.27 ,1.57 ,0.87 ,0.84 ,0.97 ,1.07 ,1.11 ,1.23 ,1.12 ,1.10
200    ,1         ,cylinder   ,3               ,1.016729 ,0.009906 ,1.016729    ,0.009906    ,10      ,0      ,0.009890 ,0.010737 ,0.010036 ,0.009531 ,0.008976 ,0.011529 ,0.009701 ,0.008984 ,0.009205 ,0.010472 ,81  ,74  ,64  ,88  ,93  ,96  ,99  ,70  ,150 ,87   ,0.91 ,0.84 ,0.72 ,0.99 ,1.06 ,1.08 ,1.12 ,0.78 ,1.68 ,0.98
200    ,1         ,cylinder   ,4               ,1.253841 ,0.009680 ,1.253841    ,0.009680    ,10      ,0      ,0.009928 ,0.008953 ,0.009955 ,0.010790 ,0.010300 ,0.010088 ,0.009020 ,0.009670 ,0.008778 ,0.009321 ,85  ,94  ,57  ,77  ,103 ,112 ,55  ,78  ,85  ,83   ,1.29 ,1.44 ,0.85 ,1.19 ,1.55 ,1.69 ,0.82 ,1.19 ,1.28 ,1.24
200    ,1         ,cylinder   ,5               ,1.342459 ,0.009605 ,1.342459    ,0.009605    ,10      ,0      ,0.010031 ,0.009194 ,0.010053 ,0.010071 ,0.009698 ,0.008843 ,0.009256 ,0.009586 ,0.009068 ,0.010251 ,85  ,68  ,69  ,66  ,85  ,81  ,57  ,64  ,80  ,53   ,1.61 ,1.30 ,1.38 ,1.25 ,1.60 ,1.52 ,1.07 ,1.20 ,1.50 ,1.00
200    ,1         ,cylinder   ,6               ,1.598123 ,0.009231 ,1.598123    ,0.009231    ,10      ,0      ,0.010111 ,0.009191 ,0.008882 ,0.008576 ,0.009935 ,0.008840 ,0.008643 ,0.009486 ,0.009083 ,0.009563 ,67  ,58  ,87  ,101 ,51  ,82  ,64  ,60  ,69  ,71   ,1.50 ,1.31 ,1.94 ,2.31 ,1.14 ,1.83 ,1.43 ,1.35 ,1.56 ,1.61
200    ,1         ,cylinder   ,7               ,1.687896 ,0.009589 ,1.687896    ,0.009589    ,10      ,0      ,0.009922 ,0.009263 ,0.009383 ,0.008668 ,0.008747 ,0.009311 ,0.009728 ,0.009629 ,0.009843 ,0.011396 ,64  ,54  ,56  ,57  ,91  ,53  ,85  ,57  ,60  ,66   ,1.68 ,1.41 ,1.47 ,1.50 ,2.39 ,1.39 ,2.23 ,1.50 ,1.59 ,1.73
200    ,1         ,cylinder   ,8               ,1.686533 ,0.009317 ,1.686533    ,0.009317    ,10      ,0      ,0.009196 ,0.010750 ,0.009475 ,0.008935 ,0.008811 ,0.009637 ,0.008982 ,0.009706 ,0.008267 ,0.009416 ,42  ,44  ,57  ,51  ,49  ,54  ,51  ,80  ,81  ,55   ,1.25 ,1.32 ,1.71 ,1.53 ,1.46 ,1.61 ,1.52 ,2.39 ,2.42 ,1.64
200    ,1         ,cylinder   ,9               ,1.775144 ,0.009087 ,1.775144    ,0.009087    ,10      ,0      ,0.010011 ,0.008628 ,0.009200 ,0.009447 ,0.009428 ,0.008980 ,0.009678 ,0.008250 ,0.008173 ,0.009079 ,51  ,39  ,53  ,48  ,51  ,48  ,58  ,48  ,89  ,42   ,1.74 ,1.31 ,1.79 ,1.61 ,1.72 ,1.60 ,1.95 ,1.60 ,3.02 ,1.41
200    ,1         ,cylinder   ,10              ,2.148317 ,0.009191 ,2.148317    ,0.009191    ,10      ,0      ,0.009480 ,0.010124 ,0.009485 ,0.009168 ,0.009091 ,0.008992 ,0.008388 ,0.009108 ,0.008854 ,0.009217 ,49  ,44  ,62  ,57  ,53  ,55  ,58  ,85  ,59  ,46   ,1.91 ,1.65 ,2.32 ,2.14 ,1.99 ,2.17 ,2.17 ,3.20 ,2.21 ,1.71
