points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime,avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
200,1,cylinder,1,0.417895,0.086947,nan,nan,0,10,0.026192,0.003863,0.124344,0.019928,0.362584,0.055716,0.209102,0.041766,0.010099,0.015874,100,100,100,100,100,100,100,100,100,100,0.38,0.38,0.39,0.38,0.38,0.38,0.52,0.46,0.46,0.46
200,1,cylinder,2,0.894142,0.089147,nan,nan,0,10,0.084309,0.278668,0.142103,0.155849,0.121850,0.050530,0.007302,0.008181,0.029965,0.012711,100,100,100,100,100,100,100,100,100,100,0.91,0.90,0.75,0.96,0.90,0.90,0.89,0.89,0.90,0.95
200,1,cylinder,3,1.331555,0.062744,nan,nan,0,10,0.018171,0.007804,0.398729,0.001025,0.002246,0.001801,0.176648,0.002424,0.002298,0.016290,100,100,100,100,100,100,100,100,100,100,1.32,1.34,1.35,1.33,1.39,1.33,1.35,1.34,1.23,1.33
200,1,cylinder,4,1.737034,0.022376,nan,nan,0,10,0.001814,0.001096,0.000260,0.003424,0.206250,0.000681,0.001142,0.002133,0.003665,0.003297,100,100,100,100,100,100,100,100,100,100,1.78,1.79,1.48,1.83,1.79,1.81,1.83,1.79,1.79,1.47
200,1,cylinder,5,2.062687,0.000699,nan,nan,0,10,0.000600,0.000622,0.000298,0.000209,0.000636,0.000135,0.000119,0.000148,0.003498,0.000720,100,100,100,100,100,100,100,100,100,100,2.21,2.23,1.84,1.85,1.84,2.04,2.20,2.23,1.94,2.24
200,1,cylinder,6,2.578022,0.000987,nan,nan,0,10,0.000563,0.000829,0.000366,0.005221,0.000530,0.000634,0.000288,0.000569,0.000545,0.000329,100,100,100,100,100,100,100,100,100,100,2.70,2.70,2.69,2.21,2.68,2.50,2.21,2.71,2.71,2.68
200,1,cylinder,7,2.866925,0.000451,nan,nan,0,10,0.000341,0.000018,0.000560,0.000398,0.000734,0.000815,0.000660,0.000690,0.000176,0.000115,100,100,100,100,100,100,100,100,100,100,2.64,2.56,2.58,3.12,3.11,3.11,2.91,3.14,2.96,2.55
200,1,cylinder,8,3.206646,0.000254,nan,nan,0,10,0.000335,0.000077,0.000053,0.000958,0.000079,0.000145,0.000383,0.000182,0.000165,0.000159,100,100,100,100,100,100,100,100,100,100,3.43,2.91,2.91,2.92,2.93,2.93,3.57,3.57,3.31,3.58
200,1,cylinder,9,3.406694,0.000138,nan,nan,0,10,0.000146,0.000098,0.000378,0.000039,0.000064,0.000035,0.000203,0.000124,0.000281,0.000014,100,100,100,100,100,100,100,100,100,100,3.27,3.28,3.41,3.93,3.30,3.36,3.54,3.38,3.29,3.29
200,1,cylinder,10,4.280936,0.000079,nan,nan,0,10,0.000313,0.000051,0.000122,0.000032,0.000007,0.000008,0.000054,0.000121,0.000048,0.000034,100,100,100,100,100,100,100,100,100,100,3.62,4.47,4.49,4.11,4.45,4.44,3.87,4.47,4.51,4.39
200,1,cylinder,11,4.680169,0.000169,nan,nan,0,10,0.000127,0.000144,0.000235,0.000174,0.000006,0.000231,0.000195,0.000057,0.000425,0.000098,100,100,100,100,100,100,100,100,100,100,4.53,4.93,4.89,4.91,4.55,4.62,4.01,4.93,4.78,4.65
200,1,cylinder,12,5.169806,0.000087,nan,nan,0,10,0.000050,0.000032,0.000012,0.000014,0.000302,0.000095,0.000011,0.000021,0.000182,0.000146,100,100,100,100,100,100,100,100,100,100,5.36,5.34,5.35,5.21,5.19,4.76,4.40,5.36,5.33,5.41
200,1,cylinder,13,5.435512,0.000025,nan,nan,0,10,0.000001,0.000007,0.000010,0.000145,0.000002,0.000039,0.000009,0.000010,0.000028,0.000002,100,100,100,100,100,100,100,100,100,100,5.81,5.02,4.99,4.73,4.73,5.76,5.77,5.98,5.74,5.83
200,1,cylinder,14,5.985031,0.018692,nan,nan,0,10,0.000007,0.000056,0.000057,0.000021,0.000013,0.000173,0.186484,0.000025,0.000072,0.000011,100,100,100,100,100,100,100,100,100,100,6.26,5.08,6.03,6.09,6.29,6.24,6.26,6.41,5.14,6.05
200,1,cylinder,15,6.619707,0.000012,nan,nan,0,10,0.000006,0.000008,0.000006,0.000004,0.000002,0.000027,0.000011,0.000009,0.000042,0.000005,100,100,100,100,100,100,100,100,100,100,6.66,6.75,6.72,6.72,6.71,6.71,6.76,6.40,6.64,6.13
200,1,cylinder,16,6.763635,0.000046,nan,nan,0,10,0.000038,0.000021,0.000009,0.000105,0.000008,0.000111,0.000017,0.000093,0.000010,0.000050,100,100,100,100,100,100,100,100,100,100,6.90,5.98,6.71,7.07,7.11,7.08,6.96,6.94,6.82,6.07
200,1,cylinder,17,7.286674,0.000031,nan,nan,0,10,0.000035,0.000010,0.000012,0.000013,0.000018,0.000113,0.000013,0.000019,0.000045,0.000038,100,100,100,100,100,100,100,100,100,100,7.54,7.53,7.29,6.85,8.15,7.58,6.12,7.48,7.13,7.19
200,1,cylinder,18,7.702476,0.000012,nan,nan,0,10,0.000001,0.000006,0.000017,0.000002,0.000020,0.000051,0.000006,0.000001,0.000004,0.000015,100,100,100,100,100,100,100,100,100,100,8.07,8.00,7.59,7.30,7.34,8.00,7.98,8.07,8.04,6.63
200,1,cylinder,19,7.689043,0.000011,nan,nan,0,10,0.000001,0.000030,0.000015,0.000007,0.000006,0.000002,0.000012,0.000010,0.000008,0.000017,100,100,100,100,100,100,100,100,100,100,7.69,7.08,8.50,8.12,7.57,6.96,8.44,8.41,7.20,6.92
200,1,cylinder,20,7.870489,0.000004,nan,nan,0,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.000003,0.000022,0.000009,0.000001,0.000002,100,100,100,100,100,100,100,100,100,100,8.87,8.48,7.32,7.30,7.33,7.31,8.62,8.48,7.68,7.31
