points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime, avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
200,1,None,1,0.558249,0.011474,0.558249,0.011474,10,0,0.010987,0.017581,0.012914,0.011491,0.009187,0.008489,0.010315,0.010498,0.012098,0.011185,144,131,129,152,119,132,109,126,153,147,0.74,0.53,0.53,0.62,0.48,0.53,0.44,0.50,0.62,0.59
200,1,None,2,1.497082,0.010955,1.497082,0.010955,10,0,0.010523,0.011315,0.008879,0.011905,0.011455,0.009740,0.012899,0.010165,0.009954,0.012718,447,137,124,154,169,171,163,237,160,151,3.54,1.07,0.96,1.19,1.31,1.33,1.27,1.85,1.26,1.19
200,1,None,3,1.650628,0.010407,1.650628,0.010407,10,0,0.010922,0.011138,0.010450,0.010757,0.009347,0.010685,0.010379,0.010844,0.011019,0.008532,179,103,129,254,99,239,96,125,103,92,2.08,1.19,1.50,2.95,1.15,2.77,1.11,1.45,1.23,1.06
200,1,None,4,1.365513,0.009418,1.365513,0.009418,10,0,0.008328,0.009948,0.010353,0.009547,0.010390,0.009236,0.007797,0.009187,0.009542,0.009848,96,87,93,72,105,63,74,126,92,82,1.47,1.33,1.43,1.10,1.62,0.97,1.13,1.93,1.41,1.26
200,1,None,5,1.459107,0.009660,1.459107,0.009660,10,0,0.009716,0.008915,0.011202,0.010223,0.009492,0.009425,0.009091,0.009994,0.009410,0.009130,76,59,75,109,67,84,63,65,62,100,1.45,1.13,1.43,2.09,1.34,1.61,1.20,1.25,1.19,1.92
200,1,None,6,1.541373,0.009352,1.541373,0.009352,10,0,0.010278,0.009318,0.009038,0.007653,0.009565,0.009358,0.009074,0.010837,0.008976,0.009421,77,69,58,62,66,72,59,75,56,80,1.75,1.58,1.33,1.42,1.51,1.65,1.35,1.72,1.27,1.83
200,1,None,7,1.783815,0.009505,1.783815,0.009505,10,0,0.008897,0.009823,0.011496,0.007982,0.009875,0.009111,0.009034,0.009782,0.009407,0.009639,55,92,84,76,55,47,55,52,84,61,1.46,2.56,2.36,2.04,1.46,1.25,1.46,1.38,2.23,1.64
200,1,None,8,1.880554,0.008531,1.880554,0.008531,10,0,0.007421,0.009254,0.009391,0.009147,0.007810,0.008904,0.006899,0.009096,0.009018,0.008375,59,62,89,64,60,72,52,66,39,54,1.86,1.88,2.68,1.93,1.81,2.20,1.58,2.06,1.18,1.63
200,1,None,9,1.790152,0.009190,1.790152,0.009190,10,0,0.008230,0.010087,0.009500,0.008658,0.007511,0.009236,0.009777,0.009141,0.009965,0.009799,55,45,57,63,48,42,54,48,57,57,1.87,1.54,1.94,2.15,1.63,1.43,1.84,1.63,1.94,1.93
200,1,None,10,1.958428,0.008753,1.958428,0.008753,10,0,0.008977,0.008685,0.009916,0.008957,0.009067,0.007441,0.008472,0.009711,0.006697,0.009603,39,47,53,80,49,43,43,57,47,58,1.48,1.78,2.02,3.05,1.86,1.62,1.63,2.17,1.78,2.21
