points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime,avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
200,1,cylinder,1,0.482038,0.021689,nan,nan,0,10,0.002628,0.015322,0.012131,0.004906,0.009298,0.018219,0.018972,0.063414,0.027384,0.044617,100,100,100,100,100,100,100,100,100,100,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.49
200,1,cylinder,2,0.912763,0.191437,nan,nan,0,10,0.064418,0.352002,0.222540,0.148505,0.318422,0.106018,0.086913,0.331012,0.224749,0.059793,100,100,100,100,100,100,100,100,100,100,0.94,0.91,0.81,0.94,0.94,0.94,0.94,0.94,0.81,0.94
200,1,cylinder,3,1.416598,0.069157,nan,nan,0,10,0.016431,0.060462,0.011986,0.055890,0.005947,0.340693,0.123249,0.002270,0.003384,0.071257,100,100,100,100,100,100,100,100,100,100,1.40,1.40,1.40,1.40,1.49,1.40,1.40,1.48,1.40,1.40
200,1,cylinder,4,1.846695,0.009595,nan,nan,0,10,0.000629,0.061770,0.000697,0.005483,0.001450,0.010381,0.001645,0.000591,0.007741,0.005563,100,100,100,100,100,100,100,100,100,100,1.86,1.67,1.85,1.85,1.89,1.85,1.85,1.85,1.95,1.85
200,1,cylinder,5,2.319690,0.016132,nan,nan,0,10,0.021296,0.001636,0.125998,0.000091,0.000358,0.000698,0.000045,0.001234,0.000153,0.009814,100,100,100,100,100,100,100,100,100,100,2.31,2.30,2.31,2.23,2.40,2.29,2.36,2.32,2.36,2.32
200,1,cylinder,6,2.709131,0.000165,nan,nan,0,10,0.000135,0.000822,0.000031,0.000076,0.000131,0.000045,0.000140,0.000023,0.000196,0.000046,100,100,100,100,100,100,100,100,100,100,2.77,2.39,2.77,2.55,2.78,2.70,2.80,2.75,2.83,2.75
200,1,cylinder,7,3.133714,0.000534,nan,nan,0,10,0.000084,0.000015,0.003631,0.000772,0.000320,0.000140,0.000247,0.000019,0.000057,0.000059,100,100,100,100,100,100,100,100,100,100,2.78,2.73,3.25,3.22,3.28,3.23,3.19,3.24,3.22,3.21
200,1,cylinder,8,3.636063,0.000904,nan,nan,0,10,0.000019,0.000035,0.007997,0.000017,0.000071,0.000011,0.000453,0.000179,0.000063,0.000195,100,100,100,100,100,100,100,100,100,100,3.67,3.45,3.68,3.60,3.68,3.67,3.47,3.70,3.77,3.67
200,1,cylinder,9,4.082616,0.000178,nan,nan,0,10,0.000058,0.000436,0.000043,0.000175,0.000459,0.000329,0.000131,0.000105,0.000014,0.000026,100,100,100,100,100,100,100,100,100,100,4.16,4.11,4.12,4.13,4.18,4.07,4.13,3.54,4.22,4.16
200,1,cylinder,10,4.531991,0.000324,nan,nan,0,10,0.000089,0.000073,0.000123,0.000023,0.000014,0.000006,0.001500,0.000069,0.000957,0.000391,100,100,100,100,100,100,100,100,100,100,4.65,4.43,4.58,4.60,4.68,4.30,4.57,4.57,4.62,4.31
200,1,cylinder,11,5.013368,0.000211,nan,nan,0,10,0.000016,0.000348,0.000006,0.000006,0.000587,0.000986,0.000033,0.000019,0.000012,0.000100,100,100,100,100,100,100,100,100,100,100,5.04,5.04,4.31,5.11,5.08,4.97,5.03,5.68,5.06,4.82
200,1,cylinder,12,5.347296,0.000101,nan,nan,0,10,0.000332,0.000012,0.000050,0.000314,0.000015,0.000008,0.000003,0.000017,0.000248,0.000011,100,100,100,100,100,100,100,100,100,100,4.69,5.60,5.51,5.50,5.61,5.54,5.51,4.87,5.08,5.55
200,1,cylinder,13,5.954104,0.000106,nan,nan,0,10,0.000010,0.000026,0.000217,0.000011,0.000629,0.000041,0.000075,0.000013,0.000035,0.000003,100,100,100,100,100,100,100,100,100,100,5.80,6.01,5.86,5.95,5.91,5.96,5.99,6.01,6.04,6.01
200,1,cylinder,14,6.276880,0.000381,nan,nan,0,10,0.000068,0.000020,0.003494,0.000049,0.000004,0.000084,0.000027,0.000013,0.000002,0.000049,100,100,100,100,100,100,100,100,100,100,6.42,6.47,6.45,6.40,6.52,6.17,6.13,6.07,6.09,6.04
200,1,cylinder,15,6.759120,0.000003,nan,nan,0,10,0.000001,0.000001,0.000003,0.000003,0.000001,0.000002,0.000011,0.000002,0.000001,0.000006,100,100,100,100,100,100,100,100,100,100,6.96,6.83,7.06,6.78,5.86,6.89,7.23,6.77,6.63,6.58
200,1,cylinder,16,7.025996,0.000035,nan,nan,0,10,0.000099,0.000003,0.000014,0.000169,0.000009,0.000001,0.000003,0.000002,0.000045,0.000005,100,100,100,100,100,100,100,100,100,100,6.63,7.33,7.26,7.37,7.11,6.85,6.85,6.28,7.28,7.31
200,1,cylinder,17,7.416430,0.000005,nan,nan,0,10,0.000008,0.000000,0.000015,0.000005,0.000006,0.000000,0.000004,0.000003,0.000005,0.000004,100,100,100,100,100,100,100,100,100,100,7.74,7.26,6.88,6.61,7.75,7.77,7.79,7.79,7.80,6.78
200,1,cylinder,18,8.028346,0.000018,nan,nan,0,10,0.000003,0.000002,0.000004,0.000005,0.000001,0.000005,0.000143,0.000007,0.000002,0.000012,100,100,100,100,100,100,100,100,100,100,8.20,8.24,7.94,7.70,7.21,8.22,8.24,8.33,8.31,7.90
200,1,cylinder,19,8.328270,0.000005,nan,nan,0,10,0.000006,0.000006,0.000004,0.000005,0.000003,0.000001,0.000009,0.000001,0.000010,0.000002,100,100,100,100,100,100,100,100,100,100,8.71,8.54,8.58,8.71,8.17,8.40,7.39,8.30,7.74,8.74
200,1,cylinder,20,8.623417,0.000006,nan,nan,0,10,0.000008,0.000000,0.000001,0.000001,0.000008,0.000026,0.000000,0.000011,0.000001,0.000005,100,100,100,100,100,100,100,100,100,100,9.24,9.15,8.41,9.03,8.62,9.26,8.83,8.11,7.81,7.80
