income,gender,education
202500.0,'M','Secondary / secondary special'
270000.0,'F','Higher education'
67500.0,'M','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
121500.0,'M','Secondary / secondary special'
99000.0,'M','Secondary / secondary special'
171000.0,'F','Higher education'
360000.0,'M','Higher education'
112500.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
112500.0,'F','Higher education'
38419.155,'F','Secondary / secondary special'
67500.0,'F','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
189000.0,'F','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
108000.0,'M','Secondary / secondary special'
81000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
90000.0,'F','Higher education'
135000.0,'M','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
450000.0,'F','Secondary / secondary special'
83250.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
270000.0,'M','Higher education'
90000.0,'M','Higher education'
292500.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
360000.0,'M','Secondary / secondary special'
135000.0,'F','Higher education'
112500.0,'F','Higher education'
198000.0,'F','Secondary / secondary special'
121500.0,'M','Secondary / secondary special'
99000.0,'F','Secondary / secondary special'
180000.0,'M','Higher education'
202500.0,'M','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
108000.0,'F','Higher education'
202500.0,'M','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
99000.0,'F','Secondary / secondary special'
130500.0,'F','Secondary / secondary special'
360000.0,'M','Secondary / secondary special'
54000.0,'F','Higher education'
540000.0,'M','Higher education'
76500.0,'M','Secondary / secondary special'
225000.0,'F','Higher education'
81000.0,'M','Secondary / secondary special'
180000.0,'F','Higher education'
67500.0,'F','Secondary / secondary special'
81000.0,'M','Secondary / secondary special'
360000.0,'M','Secondary / secondary special'
540000.0,'M','Higher education'
180000.0,'F','Secondary / secondary special'
180000.0,'M','Incomplete higher'
324000.0,'M','Higher education'
112500.0,'F','Higher education'
180000.0,'M','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
180000.0,'F','Higher education'
225000.0,'M','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
180000.0,'M','Higher education'
103500.0,'M','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
135000.0,'F','Higher education'
202500.0,'F','Secondary / secondary special'
112500.0,'F','Higher education'
135000.0,'M','Secondary / secondary special'
94500.0,'F','Secondary / secondary special'
108000.0,'F','Higher education'
67500.0,'F','Secondary / secondary special'
81000.0,'F','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
360000.0,'F','Secondary / secondary special'
202500.0,'M','Higher education'
202500.0,'F','Higher education'
126000.0,'F','Secondary / secondary special'
72000.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
193500.0,'F','Secondary / secondary special'
171000.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
315000.0,'M','Incomplete higher'
76500.0,'M','Secondary / secondary special'
135000.0,'F','Higher education'
90000.0,'F','Secondary / secondary special'
243000.0,'F','Higher education'
90000.0,'F','Secondary / secondary special'
54000.0,'F','Secondary / secondary special'
135000.0,'F','Higher education'
126000.0,'M','Secondary / secondary special'
76500.0,'F','Higher education'
103500.0,'F','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
126000.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
85500.0,'F','Higher education'
157500.0,'F','Incomplete higher'
270000.0,'F','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
67500.0,'F','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
135000.0,'M','Higher education'
157500.0,'F','Secondary / secondary special'
157500.0,'F','Higher education'
360000.0,'M','Higher education'
162000.0,'M','Higher education'
112500.0,'F','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
117000.0,'M','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
247500.0,'F','Secondary / secondary special'
171000.0,'M','Secondary / secondary special'
135000.0,'M','Higher education'
157500.0,'F','Secondary / secondary special'
202500.0,'M','Secondary / secondary special'
144000.0,'M','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
180000.0,'M','Incomplete higher'
225000.0,'F','Secondary / secondary special'
292500.0,'M','Higher education'
90000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
130500.0,'F','Higher education'
450000.0,'F','Higher education'
175500.0,'F','Secondary / secondary special'
58500.0,'F','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
117000.0,'F','Higher education'
180000.0,'F','Incomplete higher'
202500.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
119250.0,'F','Higher education'
202500.0,'F','Higher education'
315000.0,'F','Higher education'
157500.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
103500.0,'F','Secondary / secondary special'
58500.0,'M','Secondary / secondary special'
117000.0,'F','Secondary / secondary special'
225000.0,'F','Higher education'
135000.0,'F','Incomplete higher'
162000.0,'M','Higher education'
112500.0,'F','Higher education'
111915.0,'F','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
157500.0,'F','Higher education'
90000.0,'M','Higher education'
164250.0,'F','Higher education'
157500.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
216000.0,'F','Secondary / secondary special'
180000.0,'F','Higher education'
67500.0,'F','Secondary / secondary special'
54000.0,'F','Secondary / secondary special'
81000.0,'F','Secondary / secondary special'
63000.0,'F','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
180000.0,'M','Higher education'
202500.0,'F','Higher education'
225000.0,'M','Secondary / secondary special'
49500.0,'F','Secondary / secondary special'
202500.0,'F','Higher education'
90000.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
337500.0,'M','Higher education'
315000.0,'M','Higher education'
225000.0,'F','Higher education'
225000.0,'F','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
292500.0,'M','Higher education'
121500.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
108000.0,'M','Secondary / secondary special'
216000.0,'F','Secondary / secondary special'
67500.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
144000.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
90000.0,'M','Secondary / secondary special'
112500.0,'M','Higher education'
247500.0,'M','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
67500.0,'F','Secondary / secondary special'
72000.0,'F','Secondary / secondary special'
202500.0,'M','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
292500.0,'M','Higher education'
315000.0,'M','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
180000.0,'M','Higher education'
90000.0,'F','Secondary / secondary special'
315000.0,'M','Secondary / secondary special'
108000.0,'F','Higher education'
121500.0,'F','Higher education'
112500.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
225000.0,'M','Higher education'
85500.0,'F','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
90000.0,'F','Higher education'
135000.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
308250.0,'M','Secondary / secondary special'
108000.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
67500.0,'M','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
73341.0,'F','Higher education'
135000.0,'F','Secondary / secondary special'
180000.0,'M','Higher education'
112500.0,'F','Secondary / secondary special'
121500.0,'M','Secondary / secondary special'
202500.0,'F','Higher education'
157500.0,'F','Secondary / secondary special'
202500.0,'M','Higher education'
135000.0,'M','Secondary / secondary special'
153000.0,'F','Incomplete higher'
202500.0,'F','Secondary / secondary special'
202500.0,'F','Higher education'
157500.0,'F','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
270000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
63000.0,'M','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
292500.0,'F','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
135000.0,'M','Incomplete higher'
225000.0,'M','Secondary / secondary special'
157500.0,'M','Higher education'
157500.0,'F','Secondary / secondary special'
180000.0,'M','Higher education'
87750.0,'F','Higher education'
292500.0,'M','Secondary / secondary special'
121500.0,'F','Higher education'
67500.0,'F','Secondary / secondary special'
180000.0,'F','Higher education'
90000.0,'F','Higher education'
135000.0,'F','Higher education'
225000.0,'M','Secondary / secondary special'
270000.0,'M','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
450000.0,'M','Higher education'
112500.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
36000.0,'M','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
171000.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
382500.0,'F','Incomplete higher'
90000.0,'M','Secondary / secondary special'
63000.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
270000.0,'F','Higher education'
270000.0,'F','Secondary / secondary special'
166500.0,'M','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
76500.0,'M','Secondary / secondary special'
90000.0,'M','Secondary / secondary special'
315000.0,'M','Secondary / secondary special'
112500.0,'M','Higher education'
157500.0,'F','Secondary / secondary special'
180000.0,'F','Higher education'
81000.0,'F','Secondary / secondary special'
135000.0,'F','Incomplete higher'
108000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
69750.0,'F','Secondary / secondary special'
81000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
315000.0,'M','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
225000.0,'F','Incomplete higher'
112500.0,'M','Secondary / secondary special'
67500.0,'F','Secondary / secondary special'
270000.0,'M','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
360000.0,'F','Higher education'
315000.0,'F','Secondary / secondary special'
247500.0,'F','Higher education'
765000.0,'M','Higher education'
166500.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
45000.0,'F','Secondary / secondary special'
450000.0,'F','Higher education'
90000.0,'F','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
180000.0,'M','Higher education'
360000.0,'M','Secondary / secondary special'
157500.0,'M','Higher education'
247500.0,'F','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
630000.0,'F','Higher education'
121500.0,'F','Higher education'
180000.0,'M','Secondary / secondary special'
292500.0,'M','Secondary / secondary special'
99000.0,'F','Secondary / secondary special'
247500.0,'M','Higher education'
90000.0,'F','Higher education'
153000.0,'F','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
405000.0,'M','Higher education'
112500.0,'M','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
144000.0,'F','Secondary / secondary special'
81000.0,'F','Secondary / secondary special'
270000.0,'F','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
81000.0,'F','Secondary / secondary special'
315000.0,'M','Higher education'
180000.0,'M','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
157500.0,'F','Higher education'
81000.0,'F','Incomplete higher'
112500.0,'M','Incomplete higher'
180000.0,'F','Secondary / secondary special'
450000.0,'M','Higher education'
135000.0,'F','Secondary / secondary special'
90000.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
54000.0,'F','Secondary / secondary special'
450000.0,'M','Higher education'
472500.0,'F','Higher education'
112500.0,'M','Secondary / secondary special'
90000.0,'F','Higher education'
67500.0,'F','Higher education'
90000.0,'F','Higher education'
180000.0,'M','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
67500.0,'F','Secondary / secondary special'
81000.0,'M','Secondary / secondary special'
40500.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
148500.0,'F','Secondary / secondary special'
144000.0,'F','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
157500.0,'F','Higher education'
144000.0,'F','Secondary / secondary special'
171000.0,'M','Secondary / secondary special'
247500.0,'M','Higher education'
607500.0,'M','Higher education'
135000.0,'F','Higher education'
211500.0,'M','Secondary / secondary special'
211500.0,'F','Higher education'
90000.0,'F','Secondary / secondary special'
270000.0,'M','Secondary / secondary special'
315000.0,'F','Higher education'
252000.0,'F','Secondary / secondary special'
111919.5,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
81000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
450000.0,'M','Higher education'
225000.0,'F','Higher education'
112500.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
405000.0,'M','Higher education'
450000.0,'M','Higher education'
405000.0,'F','Higher education'
225000.0,'M','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
90000.0,'M','Secondary / secondary special'
450000.0,'M','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
270000.0,'M','Secondary / secondary special'
58500.0,'F','Secondary / secondary special'
121500.0,'M','Secondary / secondary special'
270000.0,'F','Higher education'
90000.0,'M','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
193500.0,'M','Secondary / secondary special'
450000.0,'F','Higher education'
270000.0,'F','Higher education'
112500.0,'F','Secondary / secondary special'
450000.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
247500.0,'M','Higher education'
202500.0,'F','Higher education'
189000.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
202500.0,'M','Secondary / secondary special'
450000.0,'F','Higher education'
90000.0,'F','Secondary / secondary special'
85500.0,'F','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
270000.0,'M','Higher education'
157500.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
117000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
144000.0,'M','Secondary / secondary special'
112500.0,'F','Higher education'
90000.0,'F','Secondary / secondary special'
135000.0,'F','Higher education'
135000.0,'F','Secondary / secondary special'
112500.0,'F','Higher education'
99000.0,'M','Secondary / secondary special'
121500.0,'M','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
90000.0,'M','Secondary / secondary special'
99000.0,'F','Secondary / secondary special'
180000.0,'F','Higher education'
157500.0,'M','Secondary / secondary special'
184500.0,'M','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
96750.0,'F','Secondary / secondary special'
144000.0,'F','Secondary / secondary special'
67500.0,'M','Secondary / secondary special'
211500.0,'M','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
247500.0,'F','Higher education'
225000.0,'F','Higher education'
112500.0,'F','Secondary / secondary special'
58500.0,'F','Secondary / secondary special'
225000.0,'F','Incomplete higher'
157500.0,'M','Secondary / secondary special'
450000.0,'F','Higher education'
49500.0,'F','Higher education'
337500.0,'M','Higher education'
135000.0,'F','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
117000.0,'F','Secondary / secondary special'
99000.0,'M','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
292500.0,'M','Secondary / secondary special'
31500.0,'F','Lower secondary'
157500.0,'F','Secondary / secondary special'
225000.0,'M','Higher education'
108000.0,'M','Higher education'
180000.0,'F','Secondary / secondary special'
171000.0,'F','Lower secondary'
135000.0,'M','Lower secondary'
180000.0,'M','Secondary / secondary special'
270000.0,'F','Secondary / secondary special'
270000.0,'F','Higher education'
135000.0,'M','Secondary / secondary special'
360000.0,'M','Secondary / secondary special'
139500.0,'F','Secondary / secondary special'
126000.0,'M','Secondary / secondary special'
85500.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
157500.0,'F','Higher education'
103500.0,'M','Secondary / secondary special'
225000.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
106398.0,'F','Higher education'
247500.0,'F','Secondary / secondary special'
117000.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
202500.0,'M','Higher education'
315000.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
144000.0,'M','Secondary / secondary special'
180000.0,'F','Higher education'
229500.0,'F','Higher education'
225000.0,'M','Secondary / secondary special'
184500.0,'F','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
292500.0,'F','Incomplete higher'
135000.0,'F','Higher education'
157500.0,'F','Higher education'
90000.0,'F','Incomplete higher'
180000.0,'F','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
99000.0,'F','Higher education'
225000.0,'F','Secondary / secondary special'
450000.0,'M','Secondary / secondary special'
207000.0,'F','Secondary / secondary special'
99000.0,'M','Secondary / secondary special'
337500.0,'F','Higher education'
162000.0,'F','Higher education'
121500.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
202500.0,'F','Higher education'
135000.0,'F','Secondary / secondary special'
225000.0,'M','Higher education'
247500.0,'M','Secondary / secondary special'
108000.0,'F','Higher education'
157500.0,'F','Secondary / secondary special'
211500.0,'F','Higher education'
270000.0,'F','Higher education'
135000.0,'M','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
157500.0,'F','Higher education'
112500.0,'M','Secondary / secondary special'
157500.0,'F','Incomplete higher'
90000.0,'F','Higher education'
76500.0,'F','Higher education'
247500.0,'M','Secondary / secondary special'
216000.0,'M','Secondary / secondary special'
99000.0,'F','Higher education'
67500.0,'M','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
157500.0,'F','Secondary / secondary special'
130500.0,'F','Secondary / secondary special'
247500.0,'F','Secondary / secondary special'
135000.0,'F','Higher education'
112500.0,'M','Secondary / secondary special'
54000.0,'F','Secondary / secondary special'
135000.0,'F','Lower secondary'
189000.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
234000.0,'M','Secondary / secondary special'
202500.0,'M','Higher education'
67500.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
87750.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
45000.0,'M','Secondary / secondary special'
144000.0,'F','Higher education'
81000.0,'M','Secondary / secondary special'
112500.0,'F','Incomplete higher'
135000.0,'F','Lower secondary'
112500.0,'M','Secondary / secondary special'
225000.0,'M','Higher education'
157500.0,'F','Higher education'
202500.0,'M','Secondary / secondary special'
121500.0,'M','Secondary / secondary special'
184500.0,'F','Higher education'
72000.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
90000.0,'M','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
265500.0,'M','Secondary / secondary special'
135000.0,'F','Higher education'
243000.0,'M','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
63000.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
225000.0,'M','Secondary / secondary special'
81000.0,'F','Incomplete higher'
90000.0,'F','Secondary / secondary special'
180000.0,'M','Higher education'
135000.0,'F','Secondary / secondary special'
360000.0,'M','Lower secondary'
225000.0,'F','Higher education'
157500.0,'M','Secondary / secondary special'
157500.0,'F','Higher education'
67500.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
90000.0,'F','Higher education'
90000.0,'M','Secondary / secondary special'
180000.0,'F','Secondary / secondary special'
135000.0,'M','Higher education'
135000.0,'F','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
180000.0,'M','Higher education'
540000.0,'M','Higher education'
180000.0,'F','Higher education'
99000.0,'F','Secondary / secondary special'
126000.0,'M','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
234000.0,'F','Higher education'
292500.0,'F','Higher education'
90000.0,'F','Secondary / secondary special'
216000.0,'F','Secondary / secondary special'
540000.0,'M','Secondary / secondary special'
202500.0,'F','Secondary / secondary special'
112500.0,'F','Incomplete higher'
112500.0,'F','Higher education'
202500.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
315000.0,'F','Higher education'
112500.0,'F','Secondary / secondary special'
225000.0,'F','Incomplete higher'
157500.0,'F','Incomplete higher'
157500.0,'F','Secondary / secondary special'
292500.0,'F','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
112500.0,'F','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
216000.0,'F','Higher education'
90000.0,'M','Secondary / secondary special'
108000.0,'F','Secondary / secondary special'
38250.0,'F','Secondary / secondary special'
171000.0,'M','Higher education'
103500.0,'F','Higher education'
171000.0,'F','Higher education'
121500.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
202500.0,'F','Higher education'
180000.0,'F','Secondary / secondary special'
157500.0,'F','Higher education'
202500.0,'M','Incomplete higher'
225000.0,'F','Higher education'
135000.0,'M','Higher education'
126000.0,'M','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
247500.0,'M','Higher education'
288000.0,'M','Higher education'
112500.0,'F','Secondary / secondary special'
90000.0,'F','Secondary / secondary special'
112500.0,'M','Secondary / secondary special'
225000.0,'F','Higher education'
202500.0,'M','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
112500.0,'F','Higher education'
405000.0,'M','Higher education'
225000.0,'M','Secondary / secondary special'
135000.0,'M','Secondary / secondary special'
54000.0,'F','Secondary / secondary special'
67500.0,'F','Secondary / secondary special'
270000.0,'F','Higher education'
270000.0,'M','Higher education'
112500.0,'F','Higher education'
112500.0,'F','Secondary / secondary special'
157500.0,'M','Secondary / secondary special'
126000.0,'F','Higher education'
49500.0,'F','Secondary / secondary special'
180000.0,'M','Secondary / secondary special'
405000.0,'F','Secondary / secondary special'
81000.0,'M','Secondary / secondary special'
103500.0,'F','Secondary / secondary special'
126000.0,'F','Lower secondary'
112500.0,'F','Secondary / secondary special'
76500.0,'F','Secondary / secondary special'
135000.0,'F','Higher education'
157500.0,'F','Incomplete higher'
270000.0,'M','Higher education'
247500.0,'F','Higher education'
180000.0,'M','Secondary / secondary special'
135000.0,'F','Secondary / secondary special'
