projection,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
1,0.79,0.00,10,0,0.000042,0.000037,0.000037,0.000034,0.000047,0.000035,0.000044,0.000042,0.000034,0.000040,111,98,71,77,99,87,79,84,68,72,0.89,1.05,0.65,0.71,0.91,0.80,0.73,0.78,0.63,0.72
2,2.85,0.00,10,0,0.000115,0.000124,0.000120,0.000083,0.000086,0.000088,0.000104,0.000080,0.000093,0.000110,67,169,387,75,112,168,232,135,108,104,1.24,3.09,7.12,1.39,2.05,3.06,4.22,2.45,1.97,1.89
3,11.10,0.00,10,0,0.000136,0.000574,0.000128,0.000127,0.000128,0.000133,0.000130,0.000133,0.000117,0.000130,707,999,123,552,285,357,151,264,482,169,19.25,27.14,3.35,14.97,7.75,9.72,4.12,7.15,13.03,4.57
4,14.43,0.00,10,0,0.000169,0.000166,0.000155,0.000166,0.000163,0.000179,0.000179,0.000171,0.000152,0.001251,724,399,518,201,88,680,224,93,61,999,26.13,14.40,18.66,7.33,3.20,24.83,8.10,3.36,2.22,36.04
5,4.77,0.00,10,0,0.000211,0.000202,0.000209,0.000204,0.000200,0.000208,0.000220,0.000166,0.000217,0.000211,77,124,156,85,126,97,132,77,113,67,3.48,5.61,7.11,3.87,5.69,4.39,5.95,3.51,5.10,3.04
6,5.68,0.00,10,0,0.000257,0.000257,0.000246,0.000258,0.000272,0.000259,0.000229,0.000249,0.000244,0.000252,60,267,77,93,116,97,82,87,91,75,3.29,14.48,4.20,5.06,6.28,5.26,4.46,4.73,4.93,4.06
7,6.71,0.00,10,0,0.000302,0.000272,0.000294,0.000288,0.000305,0.000277,0.000273,0.000251,0.000281,0.000294,56,162,132,108,69,73,87,91,182,103,3.57,10.21,8.33,6.79,4.37,4.58,5.52,5.74,11.48,6.50
8,4.98,0.00,10,0,0.000312,0.000285,0.000291,0.000321,0.000337,0.000326,0.000305,0.000291,0.000334,0.000296,57,100,63,66,62,69,57,57,89,71,4.11,7.16,4.53,4.78,4.47,4.99,4.11,4.10,6.40,5.14
9,6.42,0.00,10,0,0.000357,0.000360,0.000327,0.000397,0.000350,0.000348,0.000377,0.000333,0.000343,0.000345,71,44,135,83,68,100,77,78,77,57,5.77,3.59,10.93,6.75,5.49,8.11,6.28,6.37,6.24,4.63
10,7.28,0.00,10,0,0.000408,0.000400,0.000375,0.000389,0.000399,0.000392,0.000372,0.000444,0.000378,0.000419,65,81,94,129,73,64,59,85,76,79,5.93,7.31,8.47,11.60,6.60,5.82,5.35,7.71,6.86,7.13
11,6.45,0.00,10,0,0.000468,0.000474,0.000419,0.000426,0.000448,0.000395,0.000454,0.000450,0.000455,0.000417,52,70,65,48,68,58,94,67,60,66,5.22,7.00,6.45,4.80,6.73,5.77,9.38,6.71,5.92,6.53
12,7.54,0.00,10,0,0.000494,0.000484,0.000478,0.000498,0.000515,0.000479,0.000472,0.000449,0.000454,0.000473,55,84,70,39,53,83,69,55,114,74,5.97,9.12,7.57,4.24,5.76,8.99,7.47,5.93,12.29,8.03
13,8.78,0.00,10,0,0.000527,0.000499,0.000542,0.000486,0.000498,0.000575,0.000538,0.000483,0.000497,0.000497,74,76,85,64,88,49,86,118,53,56,8.64,9.06,9.92,7.53,10.28,5.79,10.07,13.76,6.21,6.57
14,8.90,0.00,10,0,0.000574,0.000571,0.000605,0.000547,0.000523,0.000509,0.000572,0.000590,0.000536,0.000569,50,50,46,89,63,55,160,60,78,52,6.33,6.35,5.84,11.18,7.97,6.99,20.14,7.58,10.04,6.59
15,10.07,0.00,10,0,0.000591,0.000599,0.000581,0.000559,0.000653,0.000614,0.000559,0.000577,0.000564,0.000653,76,113,52,75,66,99,84,52,66,62,10.31,15.28,7.07,10.15,8.91,13.31,11.32,7.04,8.90,8.42
16,9.59,0.00,10,0,0.000602,0.000673,0.000617,0.000672,0.000638,0.000676,0.000606,0.000679,0.000702,0.000624,61,64,87,60,61,53,67,63,57,92,8.83,9.23,12.51,8.66,8.85,7.67,9.69,9.06,8.19,13.20
17,13.00,0.00,10,0,0.000674,0.000718,0.000689,0.000674,0.000631,0.000708,0.000645,0.000694,0.000651,0.000707,61,121,216,110,68,39,46,72,50,66,9.33,18.46,33.01,16.81,10.43,5.99,7.07,11.08,7.69,10.09
18,19.56,0.00,10,0,0.000728,0.000756,0.000732,0.000700,0.000723,0.000775,0.000700,0.000703,0.000699,0.000712,74,67,64,49,71,584,76,43,123,60,11.99,10.83,10.41,7.97,11.48,93.86,12.34,7.05,19.87,9.77
19,15.34,0.00,10,0,0.000772,0.000766,0.000782,0.000752,0.000770,0.000704,0.000716,0.000731,0.000710,0.000723,65,75,55,67,122,92,52,91,222,58,11.14,12.88,9.47,11.49,20.83,15.71,8.86,15.54,37.59,9.89
projection,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
1,0.74,0.00,10,0,0.000075,0.000046,0.000070,0.000063,0.000072,0.000082,0.000065,0.000056,0.000062,0.000066,106,92,64,73,85,76,87,64,66,94,0.90,0.73,0.59,0.67,0.78,0.75,0.79,0.59,0.61,0.95
