datapoints,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,3.62,0.00,10,0,0.001126,0.000979,0.000980,0.000996,0.000927,0.000887,0.000945,0.000941,0.000861,0.000891,85,79,550,212,90,239,93,125,86,288,1.65,1.52,10.84,4.13,1.75,4.73,1.81,2.47,1.68,5.67
200,14.47,0.02,8,2,0.000912,0.000983,0.000901,0.077216,0.000975,0.001049,0.000864,0.000920,0.001003,0.072252,360,92,378,1000,91,134,230,203,117,1000,14.17,3.59,14.95,39.48,3.54,5.26,9.17,8.33,4.83,41.37
300,16.80,0.01,9,1,0.000910,0.000850,0.000886,0.000891,0.000742,0.001006,0.000894,0.000889,0.000903,0.078299,87,122,125,141,139,304,454,202,156,1000,5.37,7.51,7.68,8.67,8.51,18.68,27.89,12.53,9.66,61.46
400,42.95,0.02,7,3,0.069490,0.000751,0.000841,0.000836,0.056608,0.000990,0.000789,0.070318,0.001006,0.001028,1000,268,128,187,1000,562,787,1000,108,163,82.04,21.97,10.43,15.43,81.97,46.78,65.05,83.42,9.04,13.38
500,42.32,0.00,10,0,0.000910,0.000900,0.000657,0.000849,0.000965,0.000754,0.000806,0.000898,0.000821,0.000881,165,661,120,189,723,152,185,191,802,888,17.17,68.84,12.27,19.59,73.88,15.57,19.16,19.85,81.89,95.01
600,82.00,0.02,6,4,0.000716,0.000908,0.001061,0.055671,0.037621,0.063136,0.000859,0.000704,0.000873,0.074305,269,525,594,1000,1000,1000,357,651,137,1000,32.02,63.71,77.27,128.55,131.06,121.63,43.17,77.26,15.97,129.39
700,101.20,0.03,5,5,0.000839,0.054913,0.065384,0.000808,0.000916,0.040282,0.049498,0.000791,0.038381,0.000750,902,1000,1000,172,251,1000,1000,613,1000,268,124.83,138.43,146.47,22.58,34.76,136.46,147.13,88.30,136.46,36.61
800,109.00,0.02,5,5,0.000891,0.045371,0.052155,0.034274,0.000788,0.001006,0.000908,0.000987,0.041111,0.048734,102,1000,1000,1000,231,128,824,467,1000,1000,15.74,153.76,165.56,163.52,38.52,18.94,135.54,72.85,168.04,157.54
900,154.10,0.03,4,6,0.049144,0.079361,0.048930,0.038721,0.052452,0.000846,0.000966,0.000966,0.001067,0.035081,1000,1000,1000,1000,1000,712,486,824,377,1000,180.05,185.46,175.18,175.44,183.12,141.31,88.58,157.98,66.37,187.52
1000,175.86,0.04,4,6,0.055235,0.000719,0.027461,0.060755,0.000933,0.000896,0.001452,0.051288,0.075090,0.084665,1000,862,1000,1000,628,733,190,1000,1000,1000,203.57,185.35,202.65,208.46,125.27,159.96,40.41,215.73,206.85,210.38
1100,193.16,0.04,3,7,0.000760,0.048347,0.062162,0.000760,0.073524,0.059438,0.036886,0.030143,0.059182,0.000883,835,1000,1000,123,1000,1000,1000,1000,1000,683,192.63,216.60,218.74,31.39,221.87,223.92,230.38,231.08,216.93,148.06
1200,199.72,0.03,3,7,0.033324,0.033174,0.058807,0.032558,0.056792,0.000662,0.001395,0.062673,0.000792,0.044244,1000,1000,1000,1000,1000,568,207,1000,275,1000,251.05,257.85,245.81,241.15,246.72,139.88,54.19,243.83,77.03,239.66
1300,209.48,0.02,4,6,0.070314,0.000631,0.053047,0.018039,0.027127,0.000739,0.000533,0.037543,0.000968,0.036913,1000,539,1000,1000,1000,520,348,1000,294,1000,273.74,149.42,266.25,284.24,261.06,134.87,94.46,279.18,85.07,266.54
1400,219.46,0.02,5,5,0.000837,0.043104,0.000641,0.036221,0.000911,0.000793,0.045128,0.076247,0.000881,0.037701,749,1000,579,1000,249,518,1000,1000,520,1000,212.12,279.04,160.48,282.11,71.34,157.09,289.26,289.97,155.24,297.92
1500,261.45,0.04,2,8,0.065624,0.048082,0.053298,0.048739,0.063725,0.034672,0.000910,0.056853,0.000879,0.060360,1000,1000,1000,1000,1000,1000,789,1000,242,1000,320.55,310.03,283.63,281.71,281.51,282.34,221.73,283.23,68.15,281.61
1600,273.14,0.03,2,8,0.027319,0.050168,0.001138,0.027883,0.050919,0.000553,0.060268,0.036617,0.028238,0.052298,1000,1000,561,1000,1000,524,1000,1000,1000,1000,300.75,302.38,168.79,299.57,299.58,157.58,298.90,300.71,302.98,300.16
1700,285.21,0.04,2,8,0.001177,0.000846,0.056119,0.033089,0.039238,0.021136,0.049695,0.067086,0.030586,0.059160,141,897,1000,1000,1000,1000,1000,1000,1000,1000,45.09,285.28,320.18,317.54,314.93,314.25,312.76,314.48,312.91,314.71
1800,321.84,0.03,2,8,0.041476,0.021973,0.000878,0.055659,0.032824,0.029735,0.062129,0.025243,0.042241,0.000720,1000,1000,757,1000,1000,1000,1000,1000,1000,914,332.84,333.77,252.18,333.32,331.90,333.69,331.49,334.84,330.90,303.46
1900,330.17,0.02,3,7,0.000721,0.000840,0.025334,0.025392,0.035318,0.037833,0.063745,0.014630,0.021981,0.000756,766,662,1000,1000,1000,1000,1000,1000,1000,976,269.30,231.84,351.38,351.25,347.72,351.87,355.36,351.28,349.68,341.97
2000,369.09,0.04,1,9,0.049630,0.070643,0.059537,0.000820,0.052190,0.038334,0.023423,0.021222,0.040910,0.066405,1000,1000,1000,164,1000,1000,1000,1000,1000,1000,368.92,401.92,437.84,70.98,450.95,461.39,378.92,373.53,373.55,372.87
