datapoints,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,6.90,0.04,9,1,0.000279,0.000259,0.000337,0.000264,0.000255,0.369345,0.000262,0.000277,0.000203,0.000243,70,128,552,104,869,1000,70,92,102,620,1.30,2.83,10.58,2.16,17.35,18.48,1.28,1.68,1.86,11.45
200,13.86,0.06,8,2,0.000263,0.405278,0.222536,0.000297,0.000221,0.000388,0.000271,0.000215,0.000232,0.000301,330,1000,1000,278,121,277,186,116,340,153,12.03,36.49,36.36,10.14,4.43,10.17,6.78,4.22,12.46,5.55
300,29.09,0.06,7,3,0.000363,0.000273,0.161463,0.213772,0.203211,0.000290,0.000203,0.000198,0.000290,0.000275,475,108,1000,1000,1000,183,144,383,230,907,25.87,5.91,54.99,53.77,52.48,9.67,7.59,20.12,12.09,48.39
400,46.71,0.05,6,4,0.000262,0.000262,0.139544,0.000323,0.000305,0.146166,0.139572,0.000271,0.118750,0.000265,154,554,1000,287,811,1000,1000,114,1000,573,10.97,39.61,71.94,20.32,58.12,70.53,70.63,7.98,70.07,46.92
500,90.90,0.14,2,8,0.147264,0.158659,0.135736,0.299609,0.146992,0.188036,0.000310,0.157547,0.183853,0.000293,1000,1000,1000,1000,1000,1000,479,1000,1000,173,103.85,104.33,104.67,104.11,104.80,105.92,50.24,107.19,105.76,18.17
600,97.74,0.07,6,4,0.132195,0.000293,0.000209,0.128725,0.183973,0.000218,0.000341,0.291824,0.000246,0.000208,1000,825,529,1000,1000,344,669,1000,699,780,127.99,104.35,66.17,126.01,126.95,43.02,84.04,126.88,87.76,84.19
700,107.21,0.07,4,6,0.099167,0.096148,0.000255,0.176157,0.000276,0.000193,0.120637,0.159976,0.090974,0.000209,1000,1000,624,1000,225,734,1000,1000,1000,668,122.76,122.26,77.30,122.92,27.72,90.61,122.88,138.75,148.13,98.73
800,129.25,0.11,3,7,0.127669,0.210464,0.000280,0.127007,0.162788,0.000363,0.151231,0.000236,0.086582,0.218022,1000,1000,668,1000,1000,750,1000,460,1000,1000,154.78,142.97,95.20,141.72,142.39,107.45,146.34,72.24,146.08,143.32
900,173.98,0.12,0,10,0.165327,0.110690,0.180172,0.093398,0.096519,0.149487,0.090136,0.086618,0.108265,0.092066,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,161.51,161.20,161.06,173.67,190.06,180.56,157.03,179.39,188.12,187.18
1000,178.04,0.10,2,8,0.089310,0.000293,0.127714,0.067413,0.283070,0.127603,0.106406,0.116267,0.072725,0.000216,1000,768,1000,1000,1000,1000,1000,1000,1000,709,206.36,160.47,198.46,192.82,204.14,173.32,172.83,174.10,173.60,124.28
1100,186.88,0.10,2,8,0.000278,0.000337,0.081485,0.074609,0.153341,0.208498,0.183790,0.125936,0.125850,0.080518,842,512,1000,1000,1000,1000,1000,1000,1000,1000,161.11,100.04,196.61,193.94,211.52,211.16,212.53,200.53,190.89,190.45
1200,217.83,0.12,2,8,0.000257,0.286463,0.061229,0.000236,0.149367,0.227896,0.121013,0.105610,0.096215,0.160541,681,1000,1000,836,1000,1000,1000,1000,1000,1000,143.02,210.39,210.51,174.21,221.59,234.75,235.55,244.28,252.81,251.16
1300,284.18,0.13,1,9,0.060568,0.000298,0.080058,0.091400,0.160730,0.235997,0.173571,0.153652,0.188159,0.135161,1000,828,1000,1000,1000,1000,1000,1000,1000,1000,268.29,254.19,309.89,288.89,299.34,290.51,272.74,278.43,295.13,284.36
1400,257.41,0.11,2,8,0.151276,0.065292,0.114592,0.000315,0.154296,0.215601,0.000182,0.092508,0.070024,0.190802,1000,1000,1000,841,1000,1000,393,1000,1000,1000,315.01,265.61,258.21,230.68,273.62,281.67,108.52,279.84,278.49,282.49
1500,285.62,0.11,2,8,0.164742,0.116368,0.141338,0.000180,0.126444,0.101944,0.000316,0.156837,0.093567,0.199013,1000,1000,1000,251,1000,1000,839,1000,1000,1000,305.55,304.00,311.07,82.55,317.86,320.94,264.60,322.63,312.83,314.21
1600,305.17,0.12,1,9,0.144018,0.191018,0.192555,0.118541,0.099136,0.103015,0.098898,0.216468,0.072946,0.000298,1000,1000,1000,1000,1000,1000,1000,1000,1000,315,325.21,316.10,330.93,332.40,319.97,324.32,322.90,340.99,329.07,109.84
1700,389.99,0.11,1,9,0.172971,0.136633,0.085563,0.149262,0.025015,0.138314,0.173626,0.076791,0.119979,0.000282,1000,1000,1000,1000,1000,1000,1000,1000,1000,871,360.96,346.46,391.88,407.09,389.90,412.67,408.26,418.75,403.75,360.20
1800,439.56,0.12,0,10,0.154239,0.118219,0.145214,0.135428,0.178655,0.116490,0.106367,0.076722,0.159016,0.019948,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,432.88,435.65,437.01,438.29,429.52,427.63,450.22,452.12,448.35,443.91
1900,385.04,0.07,3,7,0.107358,0.000306,0.000224,0.108088,0.088905,0.039379,0.000238,0.105201,0.204127,0.079066,1000,909,601,1000,1000,1000,420,1000,1000,1000,453.00,387.40,250.91,453.15,407.77,410.92,174.30,437.13,448.20,427.60
2000,458.32,0.12,0,10,0.080235,0.076915,0.044548,0.099618,0.218237,0.172623,0.168336,0.092941,0.063501,0.186914,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,455.40,435.02,466.69,465.32,479.02,468.91,470.60,455.70,441.19,445.37
