datapoints,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,6.54,0.02,8,2,0.000976,0.097029,0.000825,0.000771,0.116374,0.000971,0.000858,0.000956,0.000749,0.000845,181,1000,56,359,1000,181,52,69,328,145,3.45,19.03,1.06,6.87,19.43,3.46,1.07,1.48,6.50,3.01
200,8.79,0.02,9,1,0.000705,0.000687,0.000969,0.000993,0.000743,0.000777,0.000776,0.170898,0.000757,0.000800,98,96,133,104,297,114,267,1000,87,111,3.69,3.60,5.00,3.91,11.24,4.30,10.12,38.07,3.32,4.62
300,29.69,0.01,8,2,0.000870,0.060502,0.055198,0.000867,0.000746,0.000762,0.000730,0.000903,0.001171,0.000829,744,1000,1000,271,482,192,94,503,334,341,44.36,59.66,59.83,16.33,28.82,11.52,5.63,30.07,20.28,20.45
400,58.67,0.04,4,6,0.001160,0.066773,0.000912,0.000953,0.053870,0.067369,0.083285,0.096091,0.073040,0.000777,542,1000,382,157,1000,1000,1000,1000,1000,253,43.33,79.66,30.49,12.54,79.91,80.38,79.70,80.33,80.22,20.16
500,76.20,0.04,4,6,0.000804,0.081395,0.000993,0.000997,0.056120,0.045857,0.090820,0.025172,0.000970,0.059282,408,1000,102,373,1000,1000,1000,1000,328,1000,40.76,99.31,9.97,40.86,110.23,102.77,101.63,102.94,37.27,116.27
600,94.76,0.03,5,5,0.000870,0.067654,0.000736,0.000817,0.000986,0.000924,0.040527,0.066655,0.088391,0.076904,207,1000,208,231,681,993,1000,1000,1000,1000,26.14,125.58,24.76,28.25,87.35,137.49,138.64,120.88,126.50,131.98
700,115.67,0.04,3,7,0.000747,0.073495,0.052804,0.052092,0.029530,0.093600,0.000840,0.000883,0.040656,0.067596,209,1000,1000,1000,1000,1000,594,203,1000,1000,28.96,143.50,144.00,151.01,152.24,138.59,81.30,28.94,138.88,149.34
800,156.89,0.05,2,8,0.040674,0.076488,0.031292,0.074258,0.073365,0.051547,0.000837,0.077955,0.000823,0.073243,1000,1000,1000,1000,1000,1000,689,1000,653,1000,175.17,180.32,172.37,161.18,169.99,170.28,111.96,158.47,105.13,164.03
900,162.91,0.04,3,7,0.000963,0.054168,0.000896,0.026290,0.035938,0.063786,0.075378,0.045553,0.072010,0.000790,616,1000,746,1000,1000,1000,1000,1000,1000,625,116.96,178.12,145.09,178.21,178.59,182.59,179.22,178.59,178.09,113.64
1000,204.65,0.06,0,10,0.071223,0.051682,0.050738,0.025647,0.080804,0.034629,0.065909,0.036527,0.086007,0.054838,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,206.51,197.65,202.41,218.34,203.77,200.29,205.21,201.47,202.73,208.18
1100,174.87,0.03,5,5,0.067814,0.067022,0.001478,0.059049,0.047002,0.000753,0.038147,0.000911,0.000916,0.000975,1000,1000,353,1000,1000,563,1000,164,630,941,250.15,233.66,76.17,225.58,217.76,126.04,231.22,35.86,140.40,211.82
1200,239.80,0.04,2,8,0.071049,0.041944,0.067811,0.027454,0.000960,0.000795,0.024656,0.089741,0.087200,0.028467,1000,1000,1000,1000,709,982,1000,1000,1000,1000,238.88,256.00,254.23,243.19,180.74,238.13,253.68,254.58,239.18,239.42
1300,251.47,0.04,1,9,0.000600,0.052734,0.062988,0.065458,0.047925,0.052059,0.035257,0.038259,0.043904,0.049043,376,1000,1000,1000,1000,1000,1000,1000,1000,1000,102.92,271.78,265.79,281.12,272.27,262.09,266.66,263.32,264.57,264.21
1400,260.87,0.04,1,9,0.055321,0.045567,0.000861,0.073986,0.053241,0.047958,0.025784,0.068562,0.048357,0.029562,1000,1000,681,1000,1000,1000,1000,1000,1000,1000,299.64,274.70,180.85,265.20,263.00,265.99,263.72,266.55,264.17,264.92
1500,263.50,0.03,2,8,0.047782,0.035236,0.002372,0.071898,0.000689,0.023488,0.088789,0.039946,0.021207,0.001011,1000,1000,1000,1000,888,1000,1000,1000,1000,387,285.25,284.37,285.47,286.87,252.23,283.42,282.76,283.85,281.72,109.08
1600,290.63,0.04,1,9,0.058229,0.036264,0.029602,0.052081,0.050203,0.022839,0.057877,0.000876,0.043367,0.054299,1000,1000,1000,1000,1000,1000,1000,712,1000,1000,301.92,305.56,298.29,294.76,297.08,300.05,297.83,213.13,298.79,298.91
1700,313.53,0.04,1,9,0.049428,0.042164,0.068117,0.001212,0.019784,0.042536,0.056249,0.062513,0.068626,0.031370,1000,1000,1000,945,1000,1000,1000,1000,1000,1000,316.33,313.26,316.00,298.46,315.28,315.40,315.12,314.72,317.23,313.47
1800,316.67,0.04,2,8,0.043795,0.049128,0.000674,0.067281,0.064795,0.000807,0.028603,0.036221,0.056503,0.055851,1000,1000,798,1000,1000,665,1000,1000,1000,1000,332.54,335.35,268.17,334.23,335.63,223.18,334.29,335.12,332.77,335.44
1900,348.92,0.04,2,8,0.063448,0.057952,0.073075,0.000684,0.073926,0.028894,0.065828,0.053582,0.000846,0.030580,1000,1000,1000,756,1000,1000,1000,1000,869,1000,351.65,349.60,351.29,266.51,351.83,383.23,388.07,364.34,316.21,366.45
2000,395.91,0.05,1,9,0.053591,0.038216,0.054853,0.057836,0.059162,0.083303,0.035185,0.040594,0.001136,0.046349,1000,1000,1000,1000,1000,1000,1000,1000,760,1000,384.15,416.91,414.47,418.39,416.30,399.86,401.34,400.72,306.39,400.60
