projection,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
1,0.54,0.00,10,0,0.000842,0.000686,0.001016,0.000997,0.000885,0.001413,0.000815,0.000856,0.001089,0.001244,70,60,66,53,72,55,60,60,52,59,0.51,0.46,0.59,0.50,0.63,0.47,0.65,0.56,0.55,0.51
2,2.21,0.00,10,0,0.000914,0.000975,0.000896,0.000746,0.001210,0.001048,0.000944,0.001118,0.001051,0.001151,73,102,85,74,436,95,91,133,102,62,1.28,1.82,1.46,1.35,7.80,1.65,1.60,2.33,1.71,1.07
3,8.54,0.00,10,0,0.001028,0.000991,0.001043,0.001009,0.001027,0.000894,0.001007,0.001053,0.001029,0.001001,131,310,469,76,132,75,539,539,959,85,3.37,7.99,12.11,1.95,3.41,1.92,13.86,13.88,24.83,2.06
4,3.84,0.00,10,0,0.001011,0.000984,0.000892,0.000966,0.001004,0.001034,0.000998,0.000988,0.000993,0.000975,93,185,57,102,152,116,96,90,55,128,2.89,6.61,2.06,3.71,5.52,4.22,3.51,3.28,1.98,4.67
5,5.99,0.00,10,0,0.000930,0.000968,0.001010,0.000924,0.000971,0.000825,0.001003,0.000978,0.001025,0.000949,79,49,637,54,49,62,117,69,136,68,3.60,2.22,28.91,2.43,2.21,2.80,5.32,3.14,6.19,3.07
6,4.93,0.00,10,0,0.001016,0.001021,0.000984,0.000970,0.000971,0.000970,0.000953,0.000841,0.000953,0.000983,242,119,46,46,59,91,71,60,119,55,13.16,6.48,2.50,2.48,3.19,4.96,3.86,3.26,6.44,2.99
7,3.42,0.00,10,0,0.000879,0.000913,0.000914,0.000982,0.000994,0.000941,0.000706,0.000750,0.001013,0.000851,54,58,50,65,63,47,42,45,60,56,3.41,3.67,3.16,4.13,3.99,2.97,2.65,2.85,3.79,3.53
8,3.53,0.00,10,0,0.000974,0.001009,0.000943,0.000819,0.000953,0.000970,0.000928,0.000944,0.001018,0.000871,35,61,85,35,45,55,63,39,38,33,2.52,4.42,6.16,2.52,3.23,3.97,4.54,2.81,2.75,2.37
9,3.88,0.00,10,0,0.000957,0.000865,0.000934,0.000869,0.000967,0.000872,0.000970,0.000921,0.000937,0.000923,70,41,45,86,34,39,43,40,49,31,5.69,3.33,3.65,7.02,2.74,3.14,3.50,3.25,3.97,2.50
10,4.08,0.00,10,0,0.000919,0.000977,0.000975,0.000990,0.000895,0.000989,0.000986,0.000949,0.000981,0.000964,34,43,69,29,36,53,54,42,45,48,3.04,3.86,6.24,2.58,3.23,4.77,4.88,3.79,4.06,4.35
11,5.13,0.00,10,0,0.000893,0.000977,0.001001,0.001023,0.000927,0.000975,0.000914,0.000982,0.000871,0.000929,33,100,74,56,45,41,48,34,28,59,3.25,9.94,7.36,5.55,4.46,4.04,4.74,3.35,2.75,5.87
12,4.73,0.00,10,0,0.000941,0.000969,0.000943,0.000966,0.000915,0.000922,0.000995,0.000965,0.000856,0.000989,38,45,51,55,29,32,54,48,45,42,4.08,4.84,5.50,5.93,3.12,3.44,5.86,5.19,4.86,4.52
13,5.42,0.00,10,0,0.000899,0.000955,0.000901,0.000948,0.000911,0.000894,0.000969,0.000810,0.001008,0.000985,43,50,39,48,32,39,53,31,76,53,5.04,5.85,4.57,5.61,3.72,4.56,6.20,3.61,8.89,6.19
14,5.41,0.00,10,0,0.000880,0.000741,0.000948,0.000931,0.000918,0.000933,0.000874,0.000950,0.000948,0.000962,53,45,44,30,42,33,42,51,51,40,6.65,5.64,5.53,3.73,5.27,4.13,5.28,6.41,6.40,5.01
15,5.66,0.00,10,0,0.000969,0.000952,0.000801,0.000822,0.000955,0.000797,0.001000,0.000952,0.000946,0.000821,43,42,45,32,39,33,37,54,68,27,5.83,5.64,6.03,4.31,5.26,4.44,4.98,7.30,9.22,3.63
16,5.30,0.00,10,0,0.000982,0.001004,0.000907,0.000935,0.000882,0.000929,0.000871,0.000992,0.000899,0.000957,56,40,34,33,47,31,33,27,34,34,8.10,5.74,4.85,4.74,6.77,4.43,4.73,3.86,4.90,4.89
17,5.80,0.00,10,0,0.000939,0.000895,0.000870,0.000830,0.000846,0.000917,0.000878,0.000854,0.000999,0.000847,54,37,29,32,41,33,37,45,45,27,8.29,5.63,4.43,4.88,6.27,5.02,5.66,6.88,6.84,4.12
18,7.03,0.00,10,0,0.000932,0.000842,0.000905,0.000910,0.000980,0.000850,0.000983,0.000927,0.000963,0.000979,41,35,36,37,51,35,51,43,78,28,6.62,5.62,5.81,5.96,8.25,5.63,8.23,6.94,12.74,4.52
19,9.14,0.00,10,0,0.000841,0.000873,0.000925,0.000802,0.000888,0.000868,0.000945,0.000926,0.000881,0.000870,51,69,68,39,56,49,74,34,56,37,8.70,11.89,11.72,6.67,9.58,8.37,12.79,5.78,9.56,6.32
