datapoints,time,cost
10,0.66,5.35
20,1.72,17.56
30,2.56,48.63
40,4.15,101.28
50,7.08,172.02
60,13.97,246.53
70,19.02,337.46
80,26.38,456.11
90,21.12,588.62
100,37.83,722.33
110,64.15,959.15
120,48.41,1055.37
130,49.03,1256.73
140,57.09,1595.18
150,77.42,1678.18
160,87.75,1951.58
170,88.13,2360.04
180,86.48,2493.47
190,97.31,2805.39
200,93.64,3145.01
210,152.51,3315.07
220,165.27,3577.70
230,156.71,3810.09
240,168.91,4269.42
250,246.73,4880.67
260,187.21,5241.95
270,258.41,5945.25
280,281.65,6095.84
290,295.30,6324.19
300,359.04,6829.28
310,398.18,7102.68
320,415.10,7964.82
330,318.89,8490.87
340,522.32,9019.72
350,455.38,9455.86
360,363.87,9852.83
370,596.97,11208.55
380,550.44,10943.23
390,442.09,12020.25
400,527.86,12473.85
410,650.20,13211.49
420,532.04,13574.64
430,522.54,14396.73
440,593.88,15505.94
450,497.89,15361.45
460,571.40,16482.83
470,599.70,17415.43
480,677.26,18500.07
490,1098.84,19136.16
500,672.80,19583.68
510,744.10,20210.11
520,919.05,21061.08
530,724.69,21989.24
540,1354.62,22889.23
550,843.45,24805.20
560,1423.47,24711.51
570,1633.89,25694.82
580,1677.96,26786.97
590,1694.11,28623.00
600,1767.41,29408.65
610,1645.09,30220.64
620,1937.95,31698.96
630,1717.66,31196.90
640,2042.35,33197.86
650,2105.53,32153.32
660,2142.79,34671.72
670,2094.19,36620.30
680,2319.02,39255.83
690,2377.61,37230.28
700,1063.49,37889.01
710,2355.15,42600.71
720,2580.82,42634.30
730,2504.86,41949.58
740,2749.03,43149.18
750,2440.07,44981.31
760,2731.69,45990.53
770,2866.71,46714.96
780,1987.64,47506.00
790,3035.17,48776.45
800,2887.57,51360.65
810,3113.68,52357.76
820,3226.25,53928.79
830,2679.01,54506.18
840,2503.29,57083.00
850,3197.81,56811.81
860,2195.64,58945.64
870,3682.93,60940.83
880,3581.16,62477.19
890,2043.56,65060.70
900,3994.68,66107.74
910,2802.90,66952.59
920,3433.46,67447.08
930,4779.58,70013.54
940,4728.57,70978.41
950,3118.64,72547.08
960,5313.07,74265.42
970,4868.74,75227.39
980,4093.17,77786.46
990,5799.45,76864.06
1000,5458.96,82511.09
1010,5329.52,81060.96
1020,4591.77,81778.32
1030,3966.98,90842.46
1040,3372.64,85499.38
1050,5436.01,89672.01
1060,5114.24,89183.93
1070,3490.52,90262.68
1080,2385.15,92686.80
1090,3968.94,92422.01
1100,3702.77,95834.78
1110,5741.38,102573.00
1120,2422.19,99374.22
1130,5282.82,102093.68
1140,4888.37,106587.72
1150,6411.78,104625.20
1160,6729.32,110077.76
1170,5238.16,111881.47
1180,5478.59,112822.43
1190,6812.66,110666.83
1200,7154.93,111797.96
1210,6189.14,115057.33
1220,6469.17,120045.74
1230,7099.22,119334.31
1240,5415.58,119152.85
1250,4236.34,123053.78
1260,5674.72,125623.55
1270,8252.71,132660.12
1280,7548.69,130025.74
1290,6442.31,130527.18
1300,7296.79,133903.63
1310,8058.47,136874.09
1320,6927.96,142159.86
1330,7907.68,142049.83
1340,8891.91,144186.82
1350,8972.79,144549.92
1360,8507.40,149841.58
1370,7874.38,145713.22
1380,9488.62,153140.00
1390,9558.33,156957.48
1400,9530.29,157258.69
1410,7945.45,157969.57
1420,7197.57,159861.55
1430,8536.04,160745.84
1440,9486.84,168080.06
1450,10088.72,170787.70
1460,10523.44,175119.17
1470,9755.26,173408.74
1480,6000.78,173124.08
1490,10951.02,176596.11
1500,7966.13,179197.62
1510,11229.05,179287.69
1520,10083.27,180094.40
1530,6001.23,188157.54
1540,11569.76,188063.88
1550,12081.95,192146.30
1560,7992.33,196040.88
1570,7913.85,194580.23
1580,12599.27,202536.77
1590,9230.17,198422.77
1600,7375.57,204882.80
1610,12119.13,210764.17
1620,9010.58,214219.83
1630,13252.29,212411.00
1640,13592.52,222175.16
1650,9827.23,217589.68
1660,9642.15,221329.76
1670,7493.56,217479.83
1680,11740.63,229659.93
1690,10616.34,236217.61
1700,11763.88,229741.17
1710,9042.63,229596.94
1720,14764.27,240504.99
1730,9242.36,236454.82
1740,10124.13,241834.66
1750,15462.57,246339.06
1760,11616.03,244057.76
1770,11787.02,251343.07
1780,11365.72,248429.52
1790,13767.59,259540.24
1800,9641.29,258875.29
1810,11496.84,263352.53
1820,16339.01,259722.97
1830,13807.68,268273.23
1840,16779.96,275445.61
1850,16984.54,270869.22
1860,17311.32,274007.83
1870,13187.00,282716.00
1880,16902.48,292661.49
1890,12983.51,283349.82
1900,11326.24,294110.75
1910,15240.51,288584.00
1920,18524.74,298601.07
1930,18787.97,306917.16
1940,16421.62,297116.45
1950,12124.84,306584.13
1960,19099.78,309351.73
1970,11355.52,315764.88
1980,17048.67,317783.62
1990,11694.49,314914.77
2000,19711.42,322811.76
2010,19787.60,325526.83
2020,14737.30,327907.63
2030,14250.65,330342.41
2040,15894.95,332652.93
2050,15934.30,338480.21
2060,15242.11,336955.72
2070,12334.34,341828.10
2080,18393.21,340826.98
