datapoints,time,cost
10,0.98,3.11
20,2.92,15.34
30,5.31,40.14
40,8.73,80.12
50,14.14,114.33
60,17.25,184.78
70,23.37,247.27
80,28.63,296.96
90,37.18,448.12
100,43.85,573.33
110,62.33,688.63
120,71.25,754.82
130,86.02,919.00
140,91.58,1107.75
150,113.41,1383.07
160,129.33,1414.50
170,144.79,2018.72
180,150.32,2236.07
190,151.99,2181.44
200,172.86,2461.34
210,217.28,3030.82
220,214.80,3306.44
230,230.68,3026.25
240,281.52,3839.25
250,304.67,3670.28
260,329.48,3918.77
270,358.25,4134.23
280,353.72,4629.94
290,394.61,5672.83
300,439.95,6055.31
310,465.96,5683.30
320,461.37,6205.86
330,447.29,6603.31
340,549.09,6757.29
350,591.17,8378.07
360,623.93,7515.60
370,615.08,7682.09
380,695.94,9013.92
390,677.88,10285.74
400,771.77,11085.45
410,683.14,11753.06
420,839.60,10655.13
430,891.39,10762.68
440,930.05,10977.01
450,879.83,14792.64
460,898.54,12577.29
470,1062.90,15676.84
480,1040.99,16185.78
490,1158.34,14052.14
500,1207.39,18127.55
510,1127.65,18489.75
520,1304.69,15663.05
530,1335.33,16643.67
540,1266.26,17811.18
550,1458.36,18408.36
560,1355.74,19236.27
570,1539.77,23261.10
580,1483.80,23442.59
590,1511.64,21752.78
600,1661.64,21161.23
610,1608.41,23693.77
620,1840.64,22681.32
630,1890.57,23501.41
640,1968.83,28871.79
650,1958.33,25793.09
660,2102.54,27592.12
670,2155.57,28407.65
680,2020.24,30256.23
690,1995.78,28534.69
700,2049.16,31589.41
710,2411.08,32648.94
720,2512.80,36557.16
730,2518.37,32765.08
740,2448.17,39172.12
750,2684.37,38300.41
760,2537.37,41538.61
770,2619.43,42539.10
780,3090.91,43618.27
790,3546.11,44660.64
800,3611.76,38245.64
810,3057.98,45591.10
820,3648.12,38746.75
830,3889.33,48882.00
840,3983.45,43279.60
850,4080.54,46313.29
860,4098.18,53629.34
870,4294.18,54802.50
880,4385.35,54539.98
890,4466.91,58367.23
900,4578.05,59345.41
910,4254.25,60160.29
920,4765.86,51236.28
930,4880.40,62493.36
940,4802.96,62037.80
950,5054.73,53562.36
960,5227.14,65481.86
970,4758.75,72162.69
980,5356.63,67222.41
990,4889.86,70576.97
1000,5320.57,71269.01
1010,5235.00,71415.69
1020,5095.89,75120.65
1030,5329.75,78555.42
1040,5744.40,76070.40
1050,5825.91,80089.14
1060,5293.21,66511.52
1070,4936.87,83050.17
1080,5510.58,84404.44
1090,5508.01,86612.50
1100,5686.54,73947.19
1110,5799.32,88635.42
1120,5909.72,90118.58
1130,6055.22,93180.41
1140,7396.65,93187.19
1150,7610.60,81018.30
1160,7811.43,81782.18
1170,7844.05,96958.36
1180,8068.23,98218.52
1190,8147.93,89200.53
1200,8268.25,105766.98
1210,8436.00,103043.60
1220,7751.22,105585.23
1230,8676.88,92788.16
1240,8874.99,110221.30
1250,8908.86,93870.20
1260,9116.07,113515.78
1270,9298.07,117699.81
1280,9416.08,118665.23
1290,9523.28,123767.58
1300,9737.54,122020.75
1310,9896.74,124406.91
1320,8601.57,106022.30
1330,10119.41,125700.21
1340,10283.80,109375.33
1350,10392.45,131081.26
1360,9743.59,129070.18
1370,10767.95,116436.36
1380,10915.91,115775.15
1390,11072.18,138682.44
1400,11196.80,146518.95
1410,11387.32,145433.22
1420,11544.94,146995.16
1430,11576.55,149855.25
1440,11674.66,152603.21
1450,11853.84,153759.27
1460,11991.36,152823.77
1470,10920.43,156050.80
1480,12305.21,155295.26
1490,11449.49,138675.16
1500,10883.00,162287.63
1510,12960.35,161980.96
1520,13108.03,141476.60
1530,13309.90,145958.13
1540,12274.03,170938.27
1550,11542.72,147018.20
1560,12691.77,174003.59
1570,11241.63,175094.54
1580,13140.79,157041.33
1590,13303.98,183958.56
1600,14533.45,156518.75
1610,12674.41,187023.71
1620,12501.24,159769.38
1630,12147.06,190941.12
1640,12807.91,197260.51
1650,14776.20,199340.43
1660,15610.09,198279.99
1670,15786.11,171085.10
1680,16404.91,208543.31
1690,13664.91,209126.51
1700,13527.56,211313.67
1710,12913.00,211949.13
1720,13890.00,213626.18
1730,14267.64,185547.58
1740,14531.22,184711.02
1750,14629.93,220002.20
1760,14725.62,229284.71
1770,17637.44,200220.12
1780,17976.18,229834.82
1790,15041.70,203760.88
1800,18360.63,204086.36
1810,17630.30,198657.64
1820,18302.76,205088.38
1830,18369.65,205413.85
1840,18316.09,246360.92
1850,16470.84,251172.76
1860,17323.53,254975.17
1870,20037.03,253425.97
