datapoints,avgtime,avgcost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,4.81,0.03,10,0,0.000285,0.000247,0.311023,0.000252,0.000265,0.000260,0.000268,0.000273,0.000281,0.000266,99,165,999,407,125,149,217,113,115,109,1.97,3.59,19.23,7.66,2.35,2.82,4.12,2.13,2.19,2.09
200,11.84,0.03,10,0,0.000267,0.000239,0.000315,0.000270,0.000284,0.000257,0.000323,0.270466,0.000292,0.000283,215,447,175,374,189,206,119,999,183,156,7.93,16.39,6.51,13.83,6.95,7.57,4.35,40.45,7.79,6.62
300,27.67,0.04,10,0,0.000263,0.205926,0.000298,0.000250,0.000277,0.000258,0.000294,0.170997,0.000299,0.000291,115,999,167,145,128,794,417,999,787,164,7.30,62.94,10.61,9.19,8.08,49.42,22.62,54.38,43.08,9.05
400,48.51,0.08,10,0,0.000257,0.000247,0.164859,0.179942,0.182459,0.000276,0.000269,0.000255,0.000268,0.252706,950,185,999,999,999,186,661,448,231,999,69.47,13.46,72.81,72.58,72.94,13.73,47.91,32.46,16.82,72.93
500,54.36,0.06,10,0,0.000246,0.000315,0.134313,0.137095,0.000228,0.000256,0.177577,0.000261,0.000296,0.108295,131,120,999,999,835,183,999,222,436,999,12.25,11.32,91.53,91.51,76.43,16.87,91.97,20.16,40.26,91.30
600,97.20,0.14,10,0,0.170767,0.127284,0.158197,0.000275,0.138905,0.000276,0.214007,0.163302,0.190837,0.230747,999,999,999,214,999,475,999,999,999,999,110.54,111.11,115.30,25.87,114.97,51.39,110.03,110.40,111.24,111.19
700,72.85,0.06,10,0,0.071906,0.000274,0.000250,0.111813,0.259406,0.139474,0.000269,0.000272,0.000274,0.000260,999,249,170,999,999,999,273,162,580,300,128.46,31.86,21.97,126.23,126.18,125.97,34.52,20.55,73.71,39.07
800,104.17,0.09,10,0,0.000286,0.000327,0.085427,0.171922,0.167693,0.000275,0.080014,0.000316,0.211180,0.184143,113,307,999,999,999,417,999,305,999,999,16.38,44.56,144.55,144.01,146.04,61.67,145.83,44.79,145.73,148.18
900,171.41,0.09,10,0,0.096377,0.167464,0.153595,0.000211,0.000270,0.096145,0.109743,0.069539,0.118816,0.060630,999,999,999,506,999,999,999,999,999,999,163.39,165.10,167.86,85.87,195.03,192.47,192.33,192.17,192.73,167.16
1000,155.25,0.10,10,0,0.000292,0.000269,0.154138,0.054614,0.000270,0.138584,0.085934,0.125220,0.208146,0.242106,183,673,999,999,623,999,999,999,999,999,33.52,123.12,181.34,180.21,114.15,183.97,183.14,185.05,184.54,183.42
1100,155.67,0.06,10,0,0.070711,0.000240,0.095321,0.000260,0.222283,0.067516,0.097661,0.000293,0.000208,0.000278,999,199,999,831,999,999,999,543,532,555,206.04,40.30,204.06,169.49,202.34,200.89,201.64,109.69,107.67,114.58
1200,223.18,0.15,10,0,0.152927,0.053458,0.117175,0.150967,0.126510,0.210229,0.180530,0.143078,0.233644,0.119531,999,999,999,999,999,999,999,999,999,999,223.14,238.75,232.75,235.15,226.13,213.22,214.27,215.46,217.36,215.55
1300,200.12,0.08,10,0,0.247152,0.000268,0.000240,0.059701,0.164377,0.000242,0.060037,0.000223,0.126880,0.099748,999,995,386,999,999,522,999,364,999,999,234.20,251.58,109.01,255.50,229.59,119.45,230.74,83.62,229.75,257.75
1400,239.90,0.10,10,0,0.057999,0.184503,0.152269,0.000323,0.148479,0.179578,0.167773,0.000227,0.000283,0.137075,999,999,999,797,999,999,999,670,601,999,286.99,257.12,271.33,214.69,256.57,247.05,249.59,183.70,159.56,272.38
1500,285.80,0.11,10,0,0.123615,0.115394,0.120221,0.151894,0.000254,0.092409,0.170224,0.075201,0.148800,0.106160,999,999,999,999,541,999,999,999,999,999,286.58,295.93,277.78,298.16,163.28,306.52,304.39,304.10,310.43,310.82
1600,299.52,0.09,10,0,0.072482,0.000188,0.000206,0.170143,0.059107,0.159149,0.145313,0.087957,0.064049,0.160255,999,566,169,999,999,999,999,999,999,999,350.42,190.89,56.02,339.37,342.78,349.89,343.80,346.73,349.62,325.66
1700,350.92,0.13,10,0,0.000307,0.083242,0.180659,0.116350,0.209859,0.230861,0.061197,0.219539,0.074913,0.091696,781,999,999,999,999,999,999,999,999,999,287.59,360.86,349.99,350.35,357.16,364.17,375.27,355.87,355.22,352.70
1800,339.69,0.09,10,0,0.000296,0.000269,0.036576,0.146310,0.106532,0.135366,0.025740,0.107455,0.257917,0.052808,708,485,999,999,999,999,999,999,999,999,261.79,181.26,347.30,369.34,371.42,375.60,373.12,370.91,372.11,374.09
1900,348.30,0.09,10,0,0.000278,0.167314,0.127235,0.082033,0.000240,0.116532,0.136306,0.044023,0.067234,0.118991,365,999,999,999,457,999,999,999,999,999,144.96,392.51,396.87,386.66,174.34,377.47,397.74,406.62,403.33,402.47
2000,362.15,0.10,10,0,0.000351,0.266511,0.053838,0.150199,0.144197,0.123226,0.030769,0.157350,0.085716,0.000242,709,999,999,999,999,999,999,999,999,578,295.92,414.80,391.22,377.01,410.06,376.08,364.80,369.96,387.73,233.89
