datapoints,time,cost
10,0.76,3.63
20,1.84,25.49
30,4.24,62.50
40,5.42,108.66
50,7.82,175.96
60,17.68,252.97
70,26.17,317.82
80,33.65,467.76
90,24.72,605.59
100,52.60,732.24
110,42.60,925.48
120,67.94,1110.19
130,65.72,1364.41
140,71.34,1500.28
150,65.91,1670.01
160,133.22,2000.35
170,141.06,2139.29
180,141.74,2557.58
190,165.27,2681.88
200,106.44,2977.33
210,219.12,3551.26
220,116.27,3699.02
230,225.99,4203.22
240,183.81,4453.94
250,179.31,4938.53
260,507.60,5202.96
270,8061.49,5438.71
280,250.79,6235.24
290,327.75,6583.38
300,444.36,6749.61
